 	l	ha	scritta	</S>
t	0.6110997	0.067697264	0.21083342	0.11036956
o	0.89201915	0.083789416	0.023129074	0.0010623699
è	0.12242602	0.8445269	0.024179665	0.008867522
g	0.0034557253	0.990387	0.005053816	0.001103446
r	0.09474773	0.5326128	0.36590618	0.006733235
a	0.20474851	0.21217467	0.33317932	0.2498975
t	7.731722e-05	0.0047270237	0.6058428	0.38935274
s	0.0013270524	0.03400575	0.8366587	0.12800853
e	0.0150620695	0.02180914	0.52032375	0.44280505
</S>	1.5009689e-05	0.0002226515	0.19827953	0.80148286
