 	non	sono	ancora	vestita	</S>
e	0.37801456	0.16186945	0.008323822	0.02718413	0.42460808
n	0.31838897	0.66463476	0.015879449	0.0006259014	0.00047085655
ì	0.025695635	0.9232907	0.044435352	0.0040393444	0.0025388265
m	0.0067468937	0.95474267	0.035859283	0.00243508	0.0002160082
e	0.004674775	0.9463347	0.047741495	0.0006974138	0.0005515746
a	0.0008961115	0.06356677	0.90322	0.021200778	0.0111163445
n	0.00017070456	0.0025855743	0.94359356	0.050776385	0.00287387
k	0.00023269172	0.006357181	0.9742106	0.017583618	0.0016158755
ò	0.00091378356	0.003911351	0.03180696	0.020903444	0.9424644
r	0.0008736528	0.017130114	0.02734676	0.053880405	0.90076905
a	0.0007573476	0.021428265	0.42596117	0.5014609	0.05039229
e	7.0073766e-06	3.4548008e-05	0.031860087	0.121840306	0.8462581
n	0.00017376224	0.00012430882	0.025888255	0.65850776	0.3153059
d	0.00021571676	0.0013749208	0.04595822	0.6402504	0.3122007
i	1.5535873e-06	4.32054e-06	0.00052484457	0.020115983	0.97935337
m	3.2369112e-06	8.027091e-05	0.0012859622	0.0024835474	0.99614704
è	6.892235e-06	1.6561513e-05	0.002071151	0.03481737	0.963088
n	2.467641e-07	6.0512326e-07	0.000117250514	0.0019508738	0.997931
i	5.704304e-07	3.0142633e-06	0.0005970946	0.080642425	0.9187569
</S>	3.4399305e-05	1.982514e-05	0.00030358913	0.013167262	0.98647493
