 	che	vende	buon	pane	</S>
k	0.74383104	0.093283035	0.01377122	0.0044137235	0.14470103
a	0.6172627	0.3765271	0.005133794	0.00036153267	0.00071493344
i	0.04831734	0.94078445	0.006572126	0.0006053293	0.0037208337
p	0.0042370977	0.97588706	0.019419605	6.722292e-05	0.00038892138
u	0.00082266907	0.064512335	0.9299495	0.004285728	0.00042985092
l	0.008027362	0.62664115	0.3234368	0.014130716	0.027763907
ì	0.0044973353	0.04982678	0.9390262	0.004805146	0.0018445872
t	0.018712284	0.6833011	0.07360245	0.026641946	0.19774225
s	0.0024558867	0.050998192	0.8761926	0.03566065	0.034692544
o	0.027191801	0.07192776	0.64835143	0.085861936	0.16666706
m	4.920063e-05	0.0018100609	0.054556068	0.16902722	0.7745574
ì	8.471822e-06	4.581274e-05	0.4001136	0.5521531	0.047679055
k	0.00015262394	0.00080166	0.00496087	0.09450473	0.8995801
a	5.118895e-05	0.00031834524	0.11891537	0.4839383	0.39677677
l	4.1755434e-06	1.0512613e-05	0.0007240102	0.2640873	0.73517406
ò	2.5671466e-06	7.641584e-06	0.0032935715	0.45394367	0.54275256
</S>	4.6658187e-07	2.591925e-06	5.0748013e-06	0.0028764338	0.9971154
