 	nella	pasta	vuole	sale	</S>
s	0.5716392	0.012286372	0.0014330037	0.1370723	0.27756914
t	0.95229137	0.022251997	0.010391337	0.01292806	0.0021371832
i	0.27743435	0.05809996	0.014817333	0.042092793	0.6075555
p	0.26261696	0.5634859	0.08509394	0.054405976	0.034397196
à	0.06450811	0.5094213	0.22852756	0.106504284	0.09103871
s	0.020392628	0.8275607	0.12661883	0.012224933	0.013202833
t	0.00063230144	0.3753334	0.5659636	0.04354697	0.014523654
a	0.049071413	0.57093924	0.03806924	0.01938029	0.32253975
t	0.0005651993	0.021277443	0.6624536	0.231387	0.08431675
è	6.5506197e-06	0.0013512897	0.89240265	0.062319443	0.043920107
l	9.626315e-05	0.0018235884	0.7552238	0.23500407	0.007852198
i	1.3009698e-05	8.8897184e-05	0.4179916	0.5784121	0.0034943859
à	3.3289583e-05	0.00016629862	0.052311845	0.81642497	0.13106361
l	1.2326444e-07	4.2087898e-08	0.0023919742	0.9950681	0.0025398356
a	8.606716e-07	2.0259656e-06	0.026806585	0.9645145	0.008676041
</S>	4.6562943e-07	6.336411e-06	0.0044866074	0.13020569	0.86530095
