 	non	sapeva	dove	a	stare	</S>
e	0.60344326	0.036758285	0.0017888907	0.020291068	0.0092779305	0.3284405
n	0.6156757	0.3807391	0.002736485	0.00036819233	5.3409523e-05	0.000427102
ì	0.1328198	0.8308184	0.022235252	0.008825571	0.0016923423	0.0036086298
s	0.01183431	0.9836152	0.003925913	0.00023368512	0.00010605738	0.00028478462
s	0.006198053	0.9891104	0.0013903835	0.003138589	1.7274251e-05	0.00014529457
e	0.077028	0.13672844	0.06491581	0.018957743	0.12719479	0.57517517
r	0.00014304579	0.98437506	0.012304934	0.0008457166	0.0002517636	0.0020794598
e	0.020737886	0.56966573	0.2823753	0.06261255	0.007242822	0.05736562
p	4.8234047e-05	0.093337856	0.8560986	0.032275133	0.008297426	0.009942668
u	0.00016051477	0.0041426606	0.85202676	0.13103215	0.0036107681	0.009027139
n	4.6333185e-05	0.0054716873	0.55685425	0.37745035	0.048154797	0.012022649
a	6.7102854e-05	0.00039713868	0.2397784	0.723402	0.01569713	0.020658197
s	1.8221988e-05	0.0005711444	0.11273955	0.31068033	0.5236897	0.052301064
t	1.0681637e-05	3.053459e-05	0.021206487	0.8682707	0.06033428	0.050147355
a	0.000112273825	0.002977958	0.017346166	0.8298125	0.01791419	0.13183694
s	1.1237266e-06	7.5793556e-05	0.0005837375	0.013733927	0.7764929	0.20911244
ì	6.837413e-07	1.603777e-06	0.0003212702	0.03134111	0.8877211	0.08061419
</S>	4.368711e-08	8.102715e-06	0.00053110335	0.006204435	0.17458239	0.8186739
