 	dovevo	comprare	il	pane	</S>
ì	0.5604762	0.009434406	0.028831653	0.0105957445	0.39066204
c	0.99854004	0.0008575534	0.00021172783	6.156436e-06	0.00038451518
h	0.9220735	0.05619891	0.014094296	0.0008155102	0.0068177534
a	0.6831138	0.20682232	0.020561589	0.017425215	0.07207716
n	0.009238008	0.96688384	0.013668212	0.0022957379	0.007914237
a	0.0029167111	0.9698664	0.02246886	0.0027704975	0.0019775527
a	0.00019579098	0.92784876	0.051363353	0.0024224008	0.01816967
f	0.00028483622	0.70484	0.28606778	0.0030613916	0.0057459264
o	0.00061776396	0.331189	0.6426171	0.02346414	0.0021119479
r	0.00024592297	0.17452833	0.7518417	0.058598433	0.014785635
à	0.00013785511	0.10009295	0.88347596	0.0040893042	0.012203856
s	0.00015420865	0.07629854	0.81920624	0.0039710337	0.10036995
o	1.2324715e-05	0.0053950814	0.9770405	0.004853719	0.012698245
t	4.6764503e-06	0.0014010287	0.6317377	0.09076636	0.27609026
o	5.547473e-06	0.00038996784	0.56379974	0.39864483	0.03715996
t	1.1264739e-05	0.0004488344	0.19227302	0.6850774	0.12218947
s	4.7489193e-05	0.00024692735	0.08090363	0.78075075	0.13805115
o	9.298921e-05	0.010150781	0.045268595	0.8735529	0.0709347
m	2.749071e-05	0.0002168383	0.008227779	0.14419931	0.8473286
ì	1.2138398e-05	1.7174627e-05	0.0016414798	0.8490297	0.14929946
</S>	3.7454936e-06	2.2732618e-05	0.0013616412	0.03469385	0.963918
