 	sta	seduta	nel	giardino	</S>
s	0.59364444	0.055017736	0.01730548	0.12699567	0.20703664
t	0.98159826	0.011567035	0.0022025644	0.004482172	0.00014996674
è	0.3106704	0.11700568	0.03802308	0.23134759	0.3029532
i	0.4900146	0.29839888	0.027985556	0.13980259	0.04379836
k	0.0022387712	0.93353516	0.05551202	0.00738635	0.0013276519
a	0.009989568	0.89729285	0.07763034	0.01391477	0.0011725723
s	0.00053880503	0.37874472	0.44262436	0.14788017	0.030211903
i	0.00012961109	0.19755258	0.75895065	0.037292037	0.00607519
m	0.00010529528	0.017122764	0.85504603	0.11025127	0.017474638
m	9.700745e-06	0.015693687	0.9324621	0.040724266	0.011110241
è	0.0027934455	0.07831188	0.7278204	0.051925536	0.13914879
n	0.00038801046	0.008397595	0.46869418	0.31397694	0.20854327
i	5.7679304e-06	0.0023168076	0.7309718	0.23204541	0.03466022
s	3.0404617e-06	6.503485e-05	0.04240288	0.59438795	0.36314115
t	1.4026722e-07	7.186405e-05	0.22524184	0.6941405	0.08054563
o	9.192897e-05	0.0031400423	0.21905419	0.112711266	0.6650025
n	1.3287975e-06	8.009106e-06	0.0023819224	0.66416734	0.33344144
g	7.799369e-07	1.703889e-05	0.009402114	0.5918935	0.39868656
h	7.164729e-05	0.0029559247	0.08146651	0.40841863	0.50708735
i	0.0004396211	0.0066845026	0.01726917	0.02992688	0.9456798
a	5.091889e-07	7.5779616e-07	2.9858089e-05	0.49351957	0.50644934
r	5.5254685e-07	4.0306377e-06	0.00010392723	0.63080704	0.36908442
d	2.4715448e-06	1.9316e-05	0.00030896728	0.39406785	0.60560143
ì	1.9132283e-06	1.8450744e-05	0.00077155704	0.1199648	0.8792433
n	6.552461e-08	1.0815182e-05	0.00015833505	0.81384146	0.18598936
o	2.1717602e-08	2.7394021e-06	0.000122056146	0.39642388	0.6034513
</S>	1.4388723e-06	1.3282132e-05	4.387773e-05	0.14576188	0.8541795
