 	non	ho	dove	d	andare	</S>
e	0.32429388	0.06652501	0.0026550384	0.02718526	0.11397191	0.46536893
n	0.3131472	0.6506159	0.034787297	0.00051620946	0.00042908386	0.0005043311
è	0.025741516	0.88089055	0.08172301	0.0049043247	0.0050644367	0.0016761372
c	0.018665146	0.90242314	0.0711347	0.0049084863	0.0021835745	0.00068481633
h	0.07824743	0.5984744	0.24115607	0.026800407	0.043128468	0.012193306
o	0.086252615	0.32613292	0.3978942	0.013658211	0.012734581	0.16332754
p	0.00013220316	0.01420805	0.6539952	0.115685865	0.057848535	0.15813017
u	0.00031798772	0.0077662873	0.85045564	0.070610456	0.05098215	0.019867348
è	3.7515885e-05	0.00039622912	0.103828125	0.6812362	0.14878722	0.06571474
n	6.5560824e-05	0.00029484383	0.0027191732	0.74219483	0.25212443	0.002601081
a	9.820628e-06	0.00056535675	0.021244539	0.1568816	0.81632763	0.0049711205
p	1.6214275e-05	2.9663035e-05	0.0010073609	0.032872986	0.9021021	0.0639717
à	2.4935266e-06	1.0738152e-05	0.00051065086	0.0089606345	0.9470357	0.043479756
o	4.0146674e-08	3.622297e-06	2.9413828e-05	0.036388688	0.9346725	0.028905816
</S>	1.0889301e-05	1.2386899e-05	4.7716436e-05	0.0015657216	0.64127487	0.35708836
