 	non	ci	dimentichiamo	mai	</S>
e	0.3327526	0.09417637	0.030511355	0.17955449	0.36300522
n	0.2683277	0.7289905	0.0019917977	0.0002442181	0.0004458148
è	0.023978384	0.9703984	0.0034294082	0.0014441301	0.00074959005
n	0.028256834	0.97055095	0.00035470817	0.00046041407	0.0003770295
a	0.018182462	0.96927917	0.0109918695	0.0013193054	0.00022719147
a	0.0016300869	0.7258279	0.24721488	0.012463941	0.01286328
l	0.0032390996	0.1836769	0.79135275	0.010329387	0.0114019355
l	0.00026357995	0.020619137	0.8789146	0.09909076	0.0011118974
i	0.021191223	0.102514476	0.30886713	0.12820482	0.43922237
m	0.0010069896	0.13371971	0.24677026	0.096561454	0.5219416
o	0.000521482	0.0067828144	0.6659062	0.23647937	0.09031022
n	2.6332827e-05	0.00047641207	0.752281	0.19987847	0.047337774
i	5.9330006e-05	0.00011648712	0.27082816	0.67765534	0.05134073
s	2.134902e-05	0.00017696504	0.25814638	0.69319355	0.048461773
t	1.9465342e-05	2.7003154e-05	0.04257763	0.9093815	0.047994375
ù	1.5840422e-05	0.00074573385	0.092069864	0.68705636	0.2201122
m	1.095568e-06	0.00025306136	0.0018068007	0.7547668	0.24317221
e	1.6295506e-06	0.00027921816	0.00037377988	0.77226	0.22708538
s	4.9500445e-06	1.4055982e-05	0.0012469501	0.55930924	0.43942487
t	5.100202e-08	3.1291115e-06	7.3033305e-05	0.9175994	0.082324445
a	7.539469e-07	9.755994e-06	0.0010198865	0.4815281	0.51744145
m	6.026811e-06	2.5933603e-06	0.00010351666	0.15417673	0.8457112
à	2.3272228e-06	3.1998694e-05	0.00018380675	0.43675762	0.5630243
i	8.648454e-08	3.7127167e-05	2.3802753e-05	0.87776774	0.12217127
</S>	7.558943e-06	8.769806e-06	0.00037194393	0.3427656	0.6568461
