 	non	sono	andati	</S>
e	0.08348824	0.037304543	0.41519403	0.46401316
n	0.6046987	0.38303572	0.0047717593	0.0074937195
è	0.054512206	0.91095656	0.026717747	0.00781344
c	0.018822633	0.9406781	0.036646042	0.0038532356
h	0.027381621	0.72808325	0.21187805	0.032657165
u	0.08496208	0.73594666	0.061286587	0.11780459
n	0.00014281101	0.0518611	0.12374413	0.82425195
e	0.0005290742	0.08643884	0.76953244	0.14349958
p	8.365936e-05	0.0019971847	0.6218015	0.37611765
a	0.00013750911	0.0033841566	0.91793394	0.07854436
m	7.1823735e-05	0.00045983214	0.56506	0.4344083
è	5.303812e-05	0.0012392157	0.84752333	0.15118444
n	2.7323838e-06	0.0007171358	0.22297464	0.7763055
a	3.831803e-06	0.00085558754	0.9259904	0.07315019
</S>	1.2477308e-05	7.0260576e-05	0.020672595	0.97924465
