 	quando	divento	vecchio	vendo	mia	casa	e	vado	a	vivere	al	mare	</S>
m	0.27235413	0.027655432	0.0074145803	0.056357387	0.06267312	0.035182126	0.046717238	0.012696029	0.022083577	0.030876473	0.01702021	0.02022165	0.38874808
ò	0.97416174	0.020199848	0.0017055485	0.0020580888	0.00042095722	0.0009630203	4.744118e-05	0.00024008306	4.1120045e-05	7.5195865e-05	2.2575998e-05	4.5758075e-05	1.8671448e-05
t	0.95426697	0.03740787	0.0015099214	0.0046234797	0.00083659147	0.0007251231	0.00025458235	0.00023921453	4.6900543e-05	3.2205542e-05	1.4152509e-05	1.0516971e-05	3.2481417e-05
t	0.93430436	0.05884427	0.0032016987	0.0020651307	0.00021863912	0.0011031248	2.7596918e-05	0.0001787981	1.1242385e-05	2.6958047e-05	3.3787808e-06	1.0650565e-05	4.103559e-06
e	0.30918947	0.11867142	0.15936914	0.058104843	0.090397276	0.085721694	0.033615742	0.04821629	0.0259689	0.03673045	0.011864193	0.007910036	0.014240562
j	0.015552983	0.9541428	0.016240362	0.006325985	0.0026344561	0.0021133875	0.0011202099	0.0007732438	0.00034886017	0.00022343578	0.00010166138	4.7424415e-05	0.0003751589
è	0.0036581208	0.7138046	0.1319142	0.069042176	0.013355569	0.047697946	0.0016194079	0.014589927	0.0009564271	0.0022042457	0.0003391648	0.00061662536	0.0002015056
n	7.686543e-05	0.94623864	0.0332848	0.013049489	0.0024655429	0.0031307964	0.00060126476	0.0007846774	0.000115608425	9.965375e-05	3.1021395e-05	4.5904137e-05	7.578612e-05
o	0.00013931196	0.8904155	0.079326525	0.016135354	0.002095146	0.0078053907	0.00037904616	0.0023027933	0.0002581953	0.0006996556	0.00011008077	0.00024945254	8.355271e-05
m	1.5456275e-06	0.8202687	0.15529378	0.017062232	0.0047250786	0.0009324768	0.00073798833	0.00031462914	0.00019275991	0.00011710639	7.696559e-05	4.2184485e-05	0.00023466274
e	2.5612517e-06	0.649094	0.3134697	0.02808787	0.0022667933	0.0061491267	4.974953e-05	0.00072133786	2.4384935e-05	7.929312e-05	1.1007242e-05	3.9704355e-05	4.484808e-06
v	3.6088383e-07	0.44667625	0.37292844	0.1518495	0.018151877	0.004875314	0.0021367962	0.001239552	0.00057607185	0.00043946313	0.0002636056	0.0002686506	0.0005941608
è	4.8791594e-07	0.092313915	0.5873095	0.25163594	0.025594	0.035911903	0.00051819574	0.005370906	0.00024635278	0.0006977829	9.608896e-05	0.0002645443	4.038209e-05
k	2.362152e-08	0.24504465	0.037737228	0.66930467	0.026746102	0.017737996	0.0012707087	0.0016735448	0.00014665945	0.00011725395	4.286622e-05	8.894802e-05	8.930867e-05
k	1.8894708e-07	0.1808148	0.10001915	0.63520074	0.026564231	0.051491145	0.00045482392	0.0044645816	0.000161337	0.00052217033	5.5758435e-05	0.00021914435	3.1978576e-05
i	0.0001568027	0.08142994	0.3345866	0.03216048	0.075655915	0.025375634	0.064532965	0.013847083	0.05322754	0.07694383	0.042996258	0.027460221	0.17162672
o	3.7803187e-07	0.0076559167	0.6298282	0.09211845	0.23127589	0.023552442	0.007639856	0.0017243407	0.0016567047	0.0014449995	0.000406046	0.00084413576	0.0018527107
p	1.5968263e-08	0.00019434998	0.0032016092	0.27297756	0.6217655	0.07972926	0.015134074	0.0045830463	0.0010014069	0.0005609648	0.00018133353	9.9225355e-05	0.0005715795
u	8.006086e-08	0.0005177258	0.0067757084	0.66970825	0.17669544	0.13743769	0.0012048167	0.006499006	0.00027589826	0.00057895796	8.2721104e-05	0.00018797143	3.5762656e-05
l	9.883583e-09	0.00056887517	0.001968784	0.26939118	0.5253449	0.1489406	0.03634659	0.011380016	0.0022455428	0.0012226528	0.0006805286	0.00095381297	0.0009564783
ò	4.734998e-08	7.691054e-05	0.0006587783	0.3305277	0.24310394	0.38888	0.008683192	0.022519134	0.0013784199	0.0015872734	0.00035513894	0.0019940832	0.00023536531
t	3.0657716e-09	0.0012863243	0.001490359	0.15627225	0.304826	0.44109583	0.06306952	0.02342708	0.0041758604	0.0019576869	0.00043795354	0.0005688529	0.0013923479
o	5.445574e-10	1.6033482e-05	0.0001157578	0.3123663	0.14311048	0.4733276	0.028313199	0.025528252	0.0052504577	0.007217886	0.001645907	0.0023215855	0.0007866045
s	3.448602e-09	5.307591e-06	0.00011062808	0.0028293456	0.31458303	0.28510934	0.33678296	0.045940783	0.010930974	0.0017193973	0.0006170104	0.00032554715	0.0010456357
p	6.1693123e-10	8.3672404e-07	8.25698e-06	0.02232418	0.19877069	0.6467214	0.05630955	0.06320146	0.005755609	0.0048329174	0.00084099086	0.0009460936	0.00028797126
ì	3.465162e-08	0.0007427127	0.010631926	0.041220564	0.15889011	0.19768651	0.15065321	0.044594888	0.047572978	0.039865755	0.023374151	0.021507807	0.26325932
t	4.5851473e-10	3.6866757e-05	8.769028e-05	0.025495065	0.093866676	0.5927472	0.1736065	0.076467365	0.023204977	0.0075321808	0.00097519776	0.0011441066	0.004836178
i	2.9724456e-10	1.3966269e-06	8.349672e-06	0.035168573	0.03611757	0.6183049	0.118245974	0.118245974	0.033769783	0.026644891	0.0064555574	0.004458604	0.002578351
m	1.5725574e-09	5.862658e-07	6.9207354e-06	5.9336042e-05	0.012630224	0.07367949	0.63910615	0.1656439	0.09372358	0.009415212	0.002599218	0.0010050922	0.0021303424
u	1.4597172e-09	2.341997e-07	4.9184064e-07	0.00068252604	0.019089969	0.29902488	0.23861812	0.3666973	0.048439577	0.02013547	0.0034648872	0.0029240258	0.0009224278
c	5.93669e-10	1.9332742e-06	1.9158208e-05	4.3696524e-05	0.0036964584	0.027585335	0.45535147	0.31123576	0.16434886	0.022034809	0.007917936	0.0047814627	0.002983114
e	2.192926e-08	5.287316e-07	6.528572e-07	0.00024116946	0.003516219	0.03649665	0.10641901	0.5283995	0.18633707	0.06003638	0.019573627	0.049226962	0.009752095
p	1.2265051e-08	2.395719e-06	1.4520348e-05	2.4986763e-05	0.0018178396	0.0072608804	0.22984007	0.21148393	0.41948083	0.0717398	0.0213899	0.016880218	0.020064557
à	1.8164132e-08	4.5446333e-07	4.141074e-07	2.359727e-05	0.00020996826	0.00303317	0.06604094	0.19045539	0.3533402	0.23361133	0.10279512	0.041079495	0.00940986
o	2.145703e-10	8.342303e-08	1.2536167e-06	0.0004808947	0.0018692336	0.014882838	0.041818168	0.48332256	0.30261853	0.11327565	0.019869424	0.01593166	0.0059296577
s	4.3540345e-09	2.2037602e-07	5.6424386e-07	1.1897362e-06	4.542513e-05	0.00033281202	0.021893745	0.051634364	0.36427653	0.4249193	0.0889445	0.01900914	0.028942164
