 	voleva	un	bar	con	un	forno	che	fa	buoni	rustici	</S>
ì	0.8869409	0.030515136	0.00094822084	0.00558277	0.005680553	0.021740448	0.0017935262	0.0035433015	0.0020062353	0.0044048554	0.036844105
t	0.82578444	0.16856582	0.0042245453	0.0004300981	0.0002679747	0.00046110697	6.345835e-05	9.051554e-05	3.664322e-05	4.007149e-05	3.53078e-05
e	0.5008971	0.46847618	0.023879834	0.001314026	0.0015989234	0.0028761523	9.2701055e-05	0.00019893087	0.00040082756	0.00022801381	3.72822e-05
l	0.017716244	0.8930267	0.08265392	0.004532861	0.0008599254	0.0010467871	5.1667954e-05	5.4316883e-05	2.6437396e-05	1.6803877e-05	1.4324976e-05
a	0.010446505	0.41365045	0.34273276	0.1453011	0.04354982	0.033866275	0.000657313	0.0023909654	0.0033344233	0.0036635133	0.00040677722
è	0.00074649154	0.5192161	0.35556754	0.03970236	0.019593403	0.045734413	0.0032302071	0.005121325	0.004834146	0.0046322593	0.0016216423
n	0.0034356832	0.47827098	0.4881419	0.013360102	0.00556887	0.009550958	0.00028442327	0.00048651826	0.0002638545	0.00051093637	0.00012572145
a	0.0011834559	0.31180865	0.62803894	0.05302827	0.0040183715	0.0017401483	1.565846e-05	3.3152624e-05	6.492028e-05	6.33438e-05	5.1444176e-06
b	0.000105865205	0.006312765	0.32782352	0.5685763	0.08375263	0.010533811	0.0012590816	0.00085832103	0.00038668344	0.00021359973	0.00017749301
a	1.7361874e-05	0.0034009116	0.05662805	0.60507315	0.26002488	0.06001306	0.0010386477	0.0030151622	0.0038543956	0.006487149	0.00044718743
r	8.136311e-06	0.00028987875	0.027149262	0.5600297	0.30542222	0.07345031	0.0074973344	0.007975203	0.008323117	0.007603006	0.0022518951
m	1.3112342e-06	0.0002095952	0.006992369	0.5500515	0.37888327	0.05044974	0.0026002745	0.0038395165	0.0031992157	0.003087428	0.0006857278
è	0.0015048175	0.064148135	0.07308167	0.6467337	0.04642156	0.024615847	0.007960651	0.00864611	0.009639649	0.017042007	0.10020586
n	2.0346747e-06	0.0005430373	0.019153345	0.15868667	0.63845426	0.16723514	0.0066722026	0.0025747442	0.0035428302	0.0020928679	0.0010428673
a	3.1306948e-07	0.00014838968	0.003137863	0.08361002	0.76697105	0.08425646	0.012253204	0.015040141	0.018417023	0.013398197	0.0027673645
