 	l	ho	sentito	che	veniva	</S>
o	0.71082824	0.07777942	0.0007657867	0.0010255566	0.09642021	0.11318081
n	0.20533773	0.67901605	0.107232645	0.0037729407	0.0032696982	0.0013709236
ì	0.10156775	0.6690966	0.20600969	0.011497236	0.010546815	0.0012818774
k	0.009641304	0.75587785	0.2000014	0.01428051	0.019009726	0.0011891157
u	0.05448018	0.7220195	0.15897948	0.018604485	0.044311468	0.0016048832
s	0.00045197346	0.007573806	0.3369268	0.47767493	0.14754911	0.029823523
a	3.1224543e-05	0.0038976376	0.3567806	0.5799776	0.045215737	0.014097239
k	9.054732e-05	0.00035814324	0.022616236	0.72211003	0.18109742	0.07372753
a	7.959259e-06	0.00045759827	0.03481882	0.81323314	0.13009359	0.021388825
è	9.175183e-05	0.00023342045	0.0040297876	0.4334389	0.30537474	0.25683147
r	4.2192968e-07	1.9426885e-05	0.00014543248	0.016055798	0.98057556	0.0032033462
k	3.5630535e-07	7.030074e-06	2.0256628e-05	0.0021936	0.99763215	0.00014660928
a	0.0031891747	0.03089034	0.04096749	0.06988118	0.3160698	0.539002
t	5.480884e-07	1.0014675e-06	1.1497276e-06	0.00020844646	0.32206696	0.6777219
o	7.898375e-08	9.679314e-06	0.00016193415	0.008264401	0.8031834	0.18838054
</S>	7.3596254e-07	7.2111575e-06	1.5546835e-05	0.00033262544	0.26221493	0.7374289
