 	ha	pensato	che	il	ladro	è	entrato	dalla	finestra	</S>
e	0.8638121	0.011494413	0.00039667726	0.0034681843	0.05830562	0.010125719	0.020836294	0.001974731	0.002381317	0.027204845
p	0.54044944	0.4082235	0.01553981	0.015740963	0.017310387	0.0014835708	0.0006218592	0.0003906955	7.650702e-05	0.00016323006
è	0.1875926	0.7205293	0.01977947	0.03668741	0.030988678	0.0010030445	0.0004591042	0.0020378893	0.00060145574	0.00032096735
n	0.0812087	0.8850319	0.015810307	0.005348852	0.010185614	0.0008642745	0.00055035925	0.0006721678	0.0002614155	6.645152e-05
s	0.015166826	0.97567457	0.0010241283	0.0045398315	0.003461457	2.5149659e-05	8.876566e-06	6.791444e-05	2.8468607e-05	2.8647607e-06
e	0.085415214	0.22246867	0.050057434	0.020724745	0.012693139	0.02457857	0.09196002	0.034596644	0.09935552	0.35815006
t	0.00021076929	0.8767439	0.06993229	0.024445867	0.008311593	0.003424487	0.0032829365	0.008612042	0.0042339712	0.0008021539
s	0.0023358408	0.66815734	0.22061625	0.05840165	0.012698602	0.0034599635	0.0033890512	0.017432643	0.010632222	0.0028764124
e	0.06012483	0.48607272	0.13885318	0.070376895	0.019147644	0.027120242	0.07244793	0.028367367	0.041539676	0.055949587
k	1.4194408e-05	0.03126334	0.6059537	0.23793687	0.042674296	0.028670613	0.016704626	0.023871314	0.010325299	0.0025857177
a	1.2767985e-05	0.003132902	0.6251602	0.29282176	0.034775086	0.0097469585	0.0056922077	0.014852192	0.009181183	0.004624697
o	1.2425101e-05	0.0007524833	0.31526884	0.4633206	0.10502264	0.054895233	0.014977554	0.031970248	0.011738315	0.002041678
l	4.6350406e-06	0.00048793535	0.05830412	0.7136424	0.17115498	0.040823113	0.0029423658	0.010584837	0.0013182511	0.0007374071
à	3.05918e-05	0.00025492377	0.0065455423	0.424046	0.5531151	0.009549528	0.0012725554	0.002890361	0.002056343	0.00023906822
d	7.017422e-07	8.567865e-06	0.0071930434	0.05322934	0.7532675	0.115343384	0.04659241	0.021577287	0.0023000194	0.00048769388
r	0.00013259434	0.001443695	0.0021129644	0.06108205	0.79833376	0.02602432	0.036043603	0.05304401	0.021278242	0.00050474046
o	0.015685229	0.04888705	0.23596434	0.30001548	0.026252564	0.011950663	0.030872015	0.023977777	0.02359413	0.28280073
m	2.0927487e-06	1.5117896e-05	0.0006013403	0.015282928	0.036118314	0.252174	0.12737517	0.15394725	0.15242834	0.26205546
b	7.770942e-07	3.078372e-06	0.0029043846	0.02823451	0.11317762	0.31453854	0.15131874	0.19337137	0.09066445	0.10578651
ì	5.1662875e-05	0.00018938901	0.0700196	0.09657426	0.07047247	0.038583625	0.11102217	0.04928214	0.08210797	0.48169664
k	8.660163e-06	6.4505846e-05	0.0015242593	0.014529175	0.12052895	0.046695188	0.44362053	0.2633609	0.06405928	0.04560849
e	5.0160725e-08	2.6327672e-07	0.000812495	0.005529699	0.098910116	0.05406652	0.3454456	0.27859968	0.13807872	0.078556865
à	5.009947e-08	5.82895e-07	3.937257e-06	8.898982e-06	5.577326e-05	0.005260321	0.016029272	0.92525125	0.040054705	0.013335235
t	7.755279e-09	9.838045e-08	2.9659208e-07	1.1378914e-05	0.010838226	0.01643488	0.013305475	0.83842593	0.11808459	0.0028991944
t	8.921465e-09	1.7906088e-07	1.4771946e-06	0.0001977793	0.017428348	0.0028240061	0.0033641353	0.8812586	0.09356659	0.001358811
i	8.079339e-08	5.8080326e-07	0.00080129656	0.0008001098	0.012873353	0.035421904	0.055478737	0.035564613	0.11738757	0.74167174
f	3.4134658e-08	5.35783e-07	1.9873814e-07	8.0966345e-07	2.1492162e-05	0.00020837852	0.0012847945	0.41849735	0.43386847	0.14611793
i	4.4427413e-09	9.2043715e-09	1.1111697e-05	0.00013313789	0.0029608794	0.0035998605	0.007644919	0.07145205	0.5217436	0.39245448
n	1.8865233e-08	2.1708875e-07	9.1481667e-07	4.1450554e-07	1.5533762e-05	0.00043332437	0.0018621656	0.21271661	0.60580736	0.17916344
è	7.1938047e-09	1.0032381e-08	6.8579584e-07	7.5275884e-06	2.325002e-05	7.8219506e-05	0.00011886987	0.007838731	0.6408515	0.35108128
s	1.3967225e-10	2.4468785e-09	1.3072247e-08	1.1956233e-07	3.2592696e-05	0.00017841285	0.00014538308	0.020269841	0.9195091	0.059864502
t	1.527661e-10	2.7640112e-10	1.05392886e-08	3.366356e-07	1.7839344e-05	3.414901e-05	7.4965894e-05	0.0034486959	0.9632553	0.033168647
r	8.469623e-09	2.1009711e-08	3.267097e-05	4.9618662e-05	0.0011376617	0.020467827	0.031646006	0.0057103815	0.29326794	0.64768785
a	2.5129795e-10	3.844127e-10	4.4631395e-07	9.011797e-06	0.000983483	0.0043258816	0.004349415	0.0108865965	0.5860302	0.39341503
</S>	4.8891684e-07	3.2443688e-06	1.6259216e-07	2.911465e-07	2.7423043e-06	9.934786e-06	5.115319e-05	0.0005322681	0.538137	0.4612628
