 	mi	si	gonfiò	il	dito	</S>
m	0.059444424	0.059139818	0.036669794	0.00947739	0.2956946	0.53957397
u	0.08149459	0.7321508	0.06331003	0.0063896906	0.11516212	0.0014927664
b	0.050492615	0.463032	0.31573933	0.15569605	0.009491146	0.0055489223
r	0.033734925	0.26703542	0.6281347	0.022024248	0.045062225	0.0040084505
i	0.0118863685	0.03037668	0.1800309	0.010166736	0.32286614	0.44467315
s	3.3269775e-05	0.018650189	0.7835428	0.14215805	0.018149659	0.037465964
t	0.013931548	0.19094369	0.2837482	0.32230124	0.048651487	0.14042374
ì	0.00063785276	0.013070245	0.45077515	0.07912735	0.0051118257	0.45127755
o	7.659504e-05	0.0047911913	0.29634205	0.62929463	0.059143007	0.010352522
d	5.03461e-06	0.0005350423	0.031553686	0.83864814	0.09239644	0.036861688
à	0.0002484817	0.0048108716	0.029467521	0.1588648	0.7271311	0.07947722
t	1.1130592e-06	0.00021807641	0.017090239	0.49869373	0.47549078	0.00850604
t	2.9196394e-06	0.00012930788	0.007585455	0.22081378	0.7401899	0.031278595
i	0.00063548447	0.003926427	0.035774622	0.13149449	0.03543997	0.792729
l	1.3906971e-07	9.388693e-06	0.0001377899	0.030633474	0.68252534	0.2866938
o	2.5316058e-05	8.846037e-05	0.0007759279	0.025575021	0.66934705	0.30418816
</S>	1.6934418e-05	8.776362e-05	5.4031196e-05	0.042556014	0.08098627	0.876299
