 	le	buone	canzoni	si	scrivono	alla	notte	</S>
t	0.60477024	0.30966684	0.027225235	0.00066668855	0.0066736513	0.0010597005	0.00094219035	0.04899552
a	0.9744409	0.021541676	0.0035114477	0.00013325785	0.00021562105	0.00012041991	1.7112678e-05	1.9562443e-05
k	0.7064373	0.25839108	0.016309744	0.0056987135	0.011277074	0.00081951625	0.00013599647	0.00093064836
à	0.5544683	0.41212288	0.032074053	0.0005174202	0.0005877807	0.00018017188	2.7959388e-05	2.1362022e-05
j	0.056593318	0.84956187	0.05104342	0.0054496573	0.014487003	0.009374768	0.009205247	0.004284697
o	0.084914826	0.87388223	0.040174093	0.00032899735	0.00047154343	0.00019719962	1.9359773e-05	1.1800976e-05
t	0.017384075	0.5361752	0.38416958	0.04927933	0.001720518	0.00739203	0.0006634092	0.0032158839
r	0.0031943365	0.65871453	0.30789647	0.016988575	0.0057646465	0.006334686	0.0004925441	0.0006142661
a	0.021693988	0.84831744	0.11103991	0.004571853	0.0005438722	0.0022536363	0.00025527706	0.011324006
v	0.00048486827	0.21962205	0.74889326	0.007857875	0.002953833	0.009589156	0.0009253314	0.009673586
ù	0.00021019981	0.7891159	0.20427771	0.0039299135	0.00015613635	0.0012030313	9.294085e-05	0.0010141752
d	0.00010567163	0.03872026	0.95495236	0.0020070544	0.0019639332	0.0015052786	8.5095584e-05	0.00066034315
i	0.018455237	0.50892276	0.41140383	0.015368076	0.0147657255	0.018726425	0.0027056662	0.009652306
a	4.110688e-05	0.09911512	0.7436485	0.107583016	0.002211824	0.0072605475	0.002929414	0.037210446
i	2.3066005e-07	0.000116902374	0.10510404	0.8766412	0.008432417	0.0076052053	0.0003368423	0.0017632223
g	5.2064834e-06	0.00045546886	0.27750245	0.5426052	0.11810467	0.05627136	0.0013544596	0.0037011246
r	0.000116935975	0.0035279882	0.56425345	0.05411001	0.1666925	0.19598143	0.013631416	0.0016863038
à	0.00059242715	0.009370797	0.21538307	0.07000291	0.10962611	0.13622284	0.023895236	0.43490654
f	0.00032235135	0.025672717	0.12188414	0.029881598	0.15345612	0.22023079	0.017707039	0.43084526
u	4.638402e-08	4.5737734e-06	0.0023073636	0.0013489801	0.4213022	0.5314252	0.025976116	0.017635623
t	5.403041e-07	6.175009e-06	0.0007738861	0.017369326	0.002493841	0.75671184	0.11265123	0.1099932
t	1.8077438e-08	6.1793304e-07	0.00029967606	0.0020214452	0.01774513	0.92116475	0.034875933	0.023892442
e	7.689828e-07	1.4131025e-05	0.0021578148	0.034587055	0.05384905	0.3570698	0.09262988	0.45969155
a	3.2353796e-07	1.0608088e-06	0.000104201754	0.0029838423	0.00025951763	0.5860495	0.22092937	0.18967217
t	3.8779154e-07	8.912383e-07	2.947019e-05	0.004242425	0.0042236694	0.64072454	0.19795147	0.15282711
s	1.3011203e-05	2.9392058e-05	6.04654e-05	0.0004819511	0.008890171	0.6158623	0.34008554	0.034577247
è	5.459069e-07	8.293722e-07	0.00014457172	0.0049290047	0.0013210699	0.114946656	0.58567446	0.2929829
n	2.2732435e-08	7.949961e-07	0.00017330644	0.00014401466	0.00024834616	0.0219021	0.3458047	0.6317268
ì	1.0988273e-09	2.181328e-08	6.5576446e-06	7.256208e-06	0.0028493372	0.045493715	0.77889454	0.17274854
t	3.3447722e-10	2.173756e-09	3.5716454e-07	9.210868e-06	2.401679e-05	0.006259783	0.5825613	0.41114527
t	2.9506234e-10	1.865186e-09	6.2052146e-07	8.84577e-07	0.00021598244	0.006837973	0.89682674	0.09611783
a	1.8395744e-09	2.1498828e-07	6.195414e-06	0.00026929838	0.0021120883	0.00675894	0.7719784	0.21887493
</S>	2.947213e-07	3.4514656e-07	5.655431e-07	8.117778e-06	4.9559703e-06	0.00084420876	0.1142962	0.88484526
