 	non	li	aspettiamo	più	</S>
e	0.17962405	0.03449841	0.041252114	0.24111956	0.5035059
t	0.15164469	0.8417923	0.0051314286	0.000637293	0.0007942207
u	0.027043771	0.9569246	0.004838648	0.008602237	0.002590648
s	0.015643265	0.8516964	0.11408717	0.011934207	0.0066389157
m	0.005141674	0.96983296	0.013179629	0.009667966	0.0021777968
è	0.030488454	0.23161158	0.28138044	0.0633273	0.3931922
n	0.0056000627	0.0525772	0.6641341	0.055044763	0.22264382
u	0.010064143	0.15393661	0.72309583	0.06332191	0.049581498
m	2.8756802e-05	0.0013009739	0.41364765	0.22201076	0.36301187
e	0.00081293593	0.014221262	0.52147394	0.39169464	0.07179727
p	1.8150009e-05	4.4999397e-05	0.032878887	0.8527488	0.114309125
l	0.00014674806	0.00023268694	0.02963576	0.919546	0.05043886
è	0.00019588573	0.0024799488	0.020155929	0.6815598	0.29560846
o	1.2732753e-05	0.0005325898	0.0015590249	0.8005066	0.19738902
</S>	5.8055975e-05	2.5624646e-05	0.0071453196	0.43559036	0.55718064
