 	deve	che	entra	da	qui	</S>
è	0.9695221	0.0039661773	0.00070748763	0.00021607878	0.0013824209	0.024205701
n	0.9490115	0.042851143	0.0031291705	0.0011840416	0.0027903987	0.0010336637
g	0.84181327	0.13162675	0.022930305	0.0012992723	0.0018982054	0.00043219313
h	0.09929817	0.12935816	0.08837112	0.024632627	0.013544618	0.64479536
i	0.11502887	0.21951102	0.12134372	0.029620454	0.009251874	0.5052441
s	0.0028696023	0.24719173	0.70144904	0.035608083	0.0010974004	0.011784087
e	0.0024861787	0.15655479	0.7923546	0.036048587	0.0044908244	0.008065034
n	0.00017059228	0.014932148	0.518909	0.45205653	0.006503402	0.007428287
a	2.6606876e-05	0.010080036	0.7850647	0.18063085	0.012428429	0.011769346
m	0.00014785673	0.0018705383	0.12036493	0.8534903	0.012841189	0.011285137
b	0.000114592935	0.0047125374	0.38688496	0.4819988	0.07604309	0.050246075
i	0.0050911494	0.050476506	0.23444147	0.07113226	0.3145982	0.32426038
a	0.0011656422	0.0016742664	0.028424336	0.14239249	0.050042126	0.77630115
p	0.00010177427	7.065738e-05	0.0030968513	0.44658947	0.36424237	0.18589883
ò	1.3569067e-05	6.737169e-05	0.0013511438	0.06308519	0.8166902	0.11879254
t	4.376621e-05	4.569392e-05	0.000482589	0.05060662	0.73908514	0.20973621
t	4.7004121e-07	1.8415604e-06	5.6346133e-05	0.006759261	0.9000293	0.09315277
ù	3.1904674e-05	0.0011917917	0.0065380232	0.023503944	0.6075846	0.36114973
</S>	1.4011647e-05	2.5426157e-06	3.9778097e-05	0.0015797529	0.16982691	0.828537
