 	dei	genitori	</S>
à	0.9493648	0.0022052906	0.04842995
t	0.9991943	0.0005632632	0.00024236822
t	0.99992514	6.160242e-05	1.3267291e-05
u	0.5088625	0.05559033	0.43554714
s	0.2589133	0.18912484	0.55196184
g	0.6923646	0.20151494	0.10612045
e	0.81966233	0.01341721	0.16692041
n	0.015933875	0.4680603	0.5160058
i	0.0018649816	0.88773704	0.110398024
t	0.0003584103	0.9345066	0.06513504
ò	0.00027476094	0.94660455	0.053120647
r	0.00026055682	0.8606186	0.13912083
u	0.002347853	0.74142134	0.2562308
</S>	0.0008950506	0.36215448	0.63695043
