 	non	deve	magniare	la	sera	</S>
e	0.41015604	0.09939852	0.012767291	0.033940908	0.024458518	0.4192788
n	0.49142516	0.4914364	0.012162459	0.0033341318	0.0007470117	0.00089476816
è	0.073618114	0.85842097	0.038992945	0.019429881	0.006372803	0.0031654409
n	0.009842536	0.9554755	0.0332586	0.0011245086	2.7398753e-05	0.0002712764
a	0.007791693	0.89894974	0.074891865	0.016384328	0.0014823076	0.0005001016
f	0.0008069145	0.33480975	0.5833548	0.0681658	0.0072421394	0.005620687
à	0.0033749558	0.04037924	0.8406489	0.054035358	0.051051546	0.010510075
i	0.0015402526	0.16695926	0.8106764	0.018510506	0.0005849176	0.0017285795
t	9.112572e-05	0.00048147893	0.34075075	0.59994704	0.048651006	0.0100786025
o	4.2825817e-05	0.00089670427	0.104391895	0.86815596	0.024202487	0.0023102027
v	4.1054154e-05	0.00032830908	0.018961845	0.918104	0.060866382	0.0016983742
r	1.3100063e-05	2.7914597e-05	0.005495471	0.43950185	0.54198205	0.012979581
à	0.00067275367	0.0134379035	0.04165452	0.17497881	0.25847125	0.51078475
i	0.00013177526	0.03351507	0.037396178	0.21627185	0.040024646	0.6726605
</S>	4.6862849e-07	9.411878e-07	9.1564114e-05	0.038474385	0.41853878	0.5428938
