 	vuole	pianto	</S>
e	0.33876798	0.56475735	0.09647468
t	0.9931038	0.0041025113	0.002793705
è	0.92532545	0.07293764	0.0017369295
l	0.98302275	0.014361361	0.002615988
i	0.8788496	0.120791994	0.00035835843
k	0.0027958564	0.9635146	0.033689573
l	0.009692871	0.5161644	0.47414267
a	0.022917071	0.89472365	0.08235929
m	7.849203e-05	0.20023723	0.7996843
m	0.00047556584	0.4280979	0.5714266
è	0.00049470866	0.21224707	0.7872582
n	0.00023701224	0.07525994	0.9245031
o	0.0010101134	0.035265718	0.9637242
</S>	7.200653e-05	0.01619305	0.98373497
