 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.8987398	0.010846175	0.0063996036	0.0045572068	0.004066943	0.002445585	0.009288097	0.001996469	0.061660096
j	0.7960044	0.19746056	0.0038309768	0.000632924	0.0004809231	0.0003364038	0.0011381446	2.6659094e-05	8.90069e-05
i	0.8331058	0.15407087	0.011882018	0.00035772787	0.00038145433	1.5336835e-05	0.00017301082	9.3668e-06	4.4209064e-06
n	0.1954884	0.76120716	0.01972554	0.0018709181	0.0023301546	0.0014178962	0.014431472	0.0029559585	0.0005725793
è	0.0051836744	0.9168697	0.032683376	0.012763742	0.013156656	0.0023171906	0.012675724	0.0029424971	0.0014074376
k	0.029566118	0.8482541	0.06918664	0.008885541	0.010592241	0.003575783	0.024341334	0.0045038187	0.0010943831
a	0.0011303024	0.84999204	0.1269674	0.009564239	0.007408341	0.00025447007	0.004216108	0.00034860603	0.00011858143
p	0.0001190793	0.16846201	0.7663369	0.029962756	0.0064614615	0.003825917	0.02118858	0.0025218048	0.001121535
u	1.0813809e-05	0.21757174	0.6135047	0.102379575	0.047758996	0.002668657	0.013308008	0.0019199284	0.000877559
l	8.472142e-05	0.03241837	0.8318124	0.081958935	0.015793592	0.0056161843	0.02569437	0.0055496474	0.0010717086
i	1.4004679e-05	0.021530973	0.7324937	0.19221926	0.04257481	0.0022216504	0.007346421	0.0007892446	0.0008099499
z	6.844221e-05	0.0033218488	0.7091499	0.18085313	0.031735763	0.016601501	0.023735194	0.02073006	0.013804193
z	6.025621e-06	0.017633041	0.31966987	0.37869892	0.10029987	0.04485243	0.043586876	0.02997937	0.06527359
è	0.007843454	0.034848545	0.6666196	0.1386479	0.021315474	0.0053407075	0.011004878	0.009954972	0.10442452
i	2.9363184e-05	0.0007831001	0.5763746	0.34917036	0.048917882	0.009438881	0.007690705	0.0038125725	0.0037825566
o	1.448316e-07	2.4972935e-06	0.022571478	0.3009278	0.39135283	0.17052874	0.1096634	0.001914359	0.0030387396
s	1.4276663e-06	5.4226543e-06	0.0022710531	0.06393435	0.23931488	0.63215023	0.05875182	0.0024285505	0.0011423129
p	4.863663e-07	1.8501749e-05	0.009707815	0.16896896	0.7373219	0.060460474	0.020766746	0.0024696388	0.00028542703
ì	5.536546e-06	0.0011981657	0.029165758	0.23046339	0.18692102	0.03749042	0.030444922	0.048546012	0.4357648
t	1.961676e-07	4.917625e-05	0.049165823	0.22772041	0.49760675	0.11780655	0.04373399	0.015968138	0.047949005
i	2.9931353e-09	2.3404823e-06	0.0010756429	0.037785057	0.7087365	0.13265607	0.05561459	0.049893975	0.01423582
o	7.056115e-08	1.6906978e-07	0.00068040163	0.011805006	0.15416297	0.55572474	0.24121507	0.02915966	0.007251937
à	4.1550418e-08	6.068332e-08	0.0001405711	0.0006942223	0.031121938	0.40131557	0.55041355	0.014148581	0.0021654656
n	2.3667601e-08	1.1664003e-08	2.2315344e-05	4.0294384e-05	0.012735125	0.0067702564	0.97799414	0.0023301528	0.000107770546
t	4.371969e-09	2.110493e-08	2.9123208e-05	0.0006697444	0.1396236	0.016845651	0.8296352	0.012845033	0.00035173495
r	9.86734e-09	1.4916933e-05	0.0012520248	0.013865625	0.055253487	0.06542419	0.031542595	0.12789026	0.70475686
e	3.177496e-08	1.3262694e-05	0.0049721044	0.033971783	0.2969713	0.09568388	0.13581549	0.0872008	0.34537134
p	1.8977544e-06	1.2348218e-06	7.7227865e-05	0.0001837687	0.0030658746	0.02223431	0.18851443	0.3574676	0.4284537
o	2.2009778e-09	7.630272e-08	1.4081604e-06	3.9335475e-05	0.000915102	0.01619034	0.04499973	0.6785985	0.25925556
d	2.3028123e-08	1.9307377e-07	3.368754e-05	0.00010027532	0.00078770384	0.02404056	0.09625142	0.78079987	0.09798632
è	1.2574428e-09	1.6022446e-08	4.4249202e-07	1.2293761e-05	0.00023951964	0.0013424313	0.008325435	0.76037455	0.22970533
g	3.9524197e-09	8.426129e-09	3.899693e-06	2.765388e-05	0.0013408356	0.0015270554	0.06738029	0.61561	0.31411022
g	1.6944753e-09	1.5137012e-08	4.2590332e-07	1.34225575e-05	0.0018010905	0.0041598617	0.13871306	0.7392701	0.11604199
h	1.8482925e-09	2.4168376e-06	0.0014585672	0.015053933	0.055683438	0.039833736	0.027786981	0.2083509	0.65183
e	1.0213537e-09	3.6639275e-07	1.835718e-05	0.0003428374	0.0011948548	0.0012265916	0.0022084105	0.040259358	0.9547492
</S>	3.1188443e-07	9.2127124e-08	9.834379e-06	2.092886e-06	6.7493693e-06	9.970571e-05	0.0021635534	0.324688	0.67302966
