 	hai	già	mangiato	</S>
ì	0.9842122	0.015580416	0.00020332487	3.963448e-06
s	0.9759016	0.024011852	7.559926e-05	1.0882e-05
e	0.7253782	0.17007352	0.10051139	0.004036835
g	0.1338281	0.864754	0.001230145	0.00018776504
i	0.8727048	0.121389784	0.0043290462	0.0015763731
à	0.20881939	0.76199967	0.02413825	0.0050427797
f	0.051486723	0.12131165	0.7601062	0.067095436
a	0.25972915	0.10975678	0.3732725	0.25724158
m	0.0636542	0.07480079	0.25591466	0.60563034
è	0.3668406	0.33059466	0.1763353	0.12622938
n	0.030935325	0.035935685	0.27270305	0.66042596
a	0.07333553	0.08484669	0.46600235	0.37581545
</S>	0.06798926	0.06870625	0.14970073	0.7136038
