 	hai	già	mangiato	</S>
è	0.9842122	0.015580416	0.00020332487	3.963448e-06
c	0.97613436	0.023782758	7.2040384e-05	1.0845294e-05
h	0.28885725	0.6240725	0.08521475	0.0018555468
i	0.9854871	0.01426663	0.00023797498	8.253128e-06
g	0.2385178	0.74015623	0.019695172	0.0016306932
i	0.82495236	0.11815619	0.019377528	0.037513945
à	0.16030098	0.50798476	0.2677255	0.063988775
f	0.042774357	0.111490466	0.71105605	0.1346791
a	0.15490952	0.09443255	0.42136413	0.32929382
m	0.045941703	0.05447419	0.25989887	0.6396852
è	0.52834696	0.2673596	0.0651214	0.13917202
n	0.03026209	0.035345484	0.275849	0.6585434
a	0.07915909	0.09531754	0.5543608	0.27116263
</S>	0.06113838	0.06254032	0.15118304	0.72513825
