 	da	da	un	famoso	poeta	</S>
p	0.9939547	0.005486849	0.00050660945	4.98084e-05	1.6009068e-06	3.062283e-07
u	0.99563605	0.0043221447	3.3156306e-05	8.651443e-06	1.604014e-08	7.346579e-10
s	0.42701504	0.5729	8.4886684e-05	4.4392646e-08	4.575412e-09	2.9640398e-10
s	0.2090745	0.6875181	0.011113221	0.07919315	0.01305579	4.5203964e-05
è	0.6587528	0.33727732	0.0023907835	0.0014548484	0.00012419638	1.0007884e-07
n	0.07454594	0.4502897	0.4716836	0.0034796072	6.8766735e-07	5.6761377e-07
a	0.10934735	0.43573487	0.42723268	0.026629034	0.0010527476	3.3661197e-06
f	0.035148907	0.14799668	0.5552036	0.25883147	0.0026633358	0.00015592303
a	0.13384748	0.32793668	0.035634644	0.418695	0.083298855	0.00058728183
m	0.04978542	0.08244492	0.4593135	0.36994833	0.037594173	0.0009135841
ò	0.07598976	0.117573544	0.035957567	0.70575947	0.05791326	0.0068064835
s	0.024816781	0.0318098	0.1359762	0.35114568	0.42527223	0.03097924
o	0.02504893	0.041684773	0.24257733	0.4644265	0.12658276	0.0996797
p	0.030631907	0.032984864	0.065792404	0.19904321	0.6032615	0.06828614
o	0.053637072	0.061943185	0.08544553	0.57598275	0.07709954	0.1458919
è	0.025008183	0.025825895	0.036413185	0.0855153	0.51522774	0.31200972
t	0.02486079	0.026365947	0.04709413	0.14238231	0.575835	0.1834619
a	0.034518912	0.035238918	0.041632555	0.08775086	0.43350554	0.36735323
</S>	0.033836078	0.034018256	0.036152944	0.04546589	0.3521365	0.49839038
