 	qui	dentro	vuole	un	tappeto	</S>
e	0.9988257	0.001141635	3.2483546e-05	1.585148e-08	1.7564498e-07	4.480438e-09
t	0.861338	0.1384086	0.00022623155	1.8621042e-05	5.1880666e-06	3.377382e-06
t	0.87216103	0.11359603	0.014153593	1.5436306e-05	7.3551746e-05	4.060898e-07
ù	0.9463864	0.053279474	0.0003220811	7.90681e-07	1.1253528e-05	2.7255866e-09
m	0.2658843	0.7322618	0.0018497965	3.9850156e-06	4.5393612e-08	7.666706e-09
è	0.2426262	0.7538732	0.0034993803	5.365634e-07	5.627267e-07	5.9017893e-08
s	0.1302954	0.83128685	0.038336065	7.0575355e-05	1.0833904e-05	3.6736847e-07
a	0.15718217	0.806218	0.03659495	4.6604123e-06	2.2747749e-07	4.971895e-08
t	0.06750245	0.22026601	0.7105382	0.0014460888	0.0002456812	1.4740871e-06
è	0.09861139	0.3179084	0.5762773	0.007021184	0.00017922033	2.4492983e-06
l	0.06096651	0.10881517	0.660503	0.15565401	0.0138658695	0.00019548788
i	0.057119437	0.16402888	0.74728316	0.02801189	0.003548652	7.88707e-06
è	0.07360705	0.080723315	0.23419166	0.4921252	0.11123076	0.008122075
n	0.0408666	0.048455186	0.21908681	0.5911234	0.074489936	0.025978014
a	0.17029068	0.17939356	0.37104774	0.25615472	0.02047861	0.0026346513
t	0.08171419	0.08337177	0.11222529	0.3572449	0.2802003	0.08524346
a	0.038919333	0.04363949	0.07962501	0.1503896	0.5779061	0.10952051
p	0.05672609	0.05768529	0.07360463	0.21728851	0.47506762	0.119627886
p	0.021148946	0.020008273	0.029509053	0.0663838	0.42214328	0.44080672
è	0.06846687	0.09861552	0.008344363	0.0008598571	0.813121	0.0105923
t	0.016529692	0.017194014	0.030812578	0.14834969	0.3804996	0.40661445
o	0.15527561	0.17709345	0.17962854	0.1045115	0.1984636	0.18502738
</S>	0.034306385	0.034441493	0.035481907	0.043710805	0.16369082	0.68836856
