 	il	morto	si	piange	</S>
o	0.9677453	0.032175794	4.221863e-05	3.623891e-05	4.0504378e-07
a	0.11688216	0.88311565	6.0312334e-07	1.4273444e-06	1.1412043e-07
p	0.3073447	0.68284655	0.008938962	0.0008537275	1.6040221e-05
e	0.578939	0.1699591	0.17941454	0.07116565	0.00052172004
t	0.15637212	0.83072287	0.012797632	7.886862e-05	2.8503151e-05
a	0.21581453	0.5567197	0.17374107	0.041437797	0.012286935
m	0.12345917	0.6849594	0.15404953	0.03720295	0.00032897352
m	0.09655435	0.3408191	0.32225293	0.060435813	0.17993781
è	0.5813964	0.21898012	0.093759544	0.06891524	0.036948737
n	0.15959275	0.32039568	0.5004894	0.016241748	0.0032803789
o	0.05721132	0.31274107	0.551736	0.04430444	0.034007087
i	0.025262956	0.044519614	0.33343443	0.5128712	0.0839118
k	0.03837118	0.046383247	0.23974468	0.57569355	0.09980741
l	0.22515155	0.15049632	0.37053305	0.08778881	0.16603027
è	0.06355875	0.07193494	0.02831106	0.04272377	0.79347146
e	0.017836379	0.023345917	0.14900258	0.4075766	0.40223855
t	0.019512251	0.025597973	0.1702826	0.46553373	0.3190734
e	0.1355433	0.13741042	0.3368383	0.2022096	0.1879984
</S>	0.0327701	0.033191815	0.04228225	0.23300214	0.6587537
