 	ho	rotto	una	bottiglia	</S>
è	0.9878279	0.011653135	0.00048458204	3.3954122e-05	4.4490503e-07
g	0.4503993	0.5493288	0.00027182995	6.494726e-08	5.695363e-08
l	0.8975404	0.09392448	0.008412543	0.000115797084	6.895584e-06
a	0.9987129	0.0010958075	0.0001761837	1.3879571e-05	1.2060075e-06
s	0.20201066	0.78912336	0.008864398	1.2682927e-06	3.9064358e-07
a	0.39813	0.59359956	0.0076481486	0.00061399094	8.310827e-06
m	0.1514008	0.6079532	0.24050012	0.00011876339	2.7108255e-05
i	0.33523965	0.5519582	0.013721939	0.087798655	0.011281575
a	0.054143943	0.1391119	0.7996304	0.006138657	0.0009751851
b	0.04271804	0.08048163	0.67338854	0.18859333	0.014818458
u	0.13879754	0.15867098	0.038563386	0.44431373	0.21965443
t	0.030910546	0.041743033	0.31653416	0.5437392	0.067073114
t	0.07252213	0.05942451	0.017979586	0.58046335	0.2696104
ì	0.4682038	0.008087548	0.04051562	0.45618555	0.027007492
g	0.023588084	0.02740674	0.1433939	0.3757173	0.42989397
l	0.018720904	0.024020227	0.15046868	0.4016987	0.4050915
i	0.67172897	0.031314947	0.0655448	0.20188881	0.029522361
a	0.023271888	0.024365332	0.05456602	0.35102323	0.54677355
</S>	0.020990679	0.02227896	0.058995087	0.3843624	0.51337284
