 	non	ho	dove	d	andare	</S>
e	0.998995	0.0007045111	0.00018151863	8.791834e-05	2.856657e-05	2.4610604e-06
n	0.9826393	0.01616144	0.0011293666	6.9069094e-05	3.571395e-07	4.4882432e-07
è	0.44360927	0.54395205	0.0033994033	0.009038031	1.2775797e-06	3.8751526e-09
c	0.22286911	0.6765655	0.0712378	0.029235581	7.1824325e-05	2.0183252e-05
h	0.083252795	0.28388804	0.5016452	0.12990937	0.0011623285	0.00014227374
o	0.061864566	0.43789956	0.49782056	0.0016676664	0.00071536115	3.2291333e-05
p	0.038336016	0.212041	0.330347	0.40161207	0.016439106	0.0012247734
u	0.04524024	0.2207165	0.70424867	0.0050647953	0.017052792	0.007676988
è	0.040455665	0.056713995	0.16902709	0.6136072	0.11395764	0.006238383
n	0.029058596	0.042183083	0.13843697	0.45746282	0.3106752	0.02218335
a	0.15201776	0.12710671	0.08427394	0.53060704	0.100666195	0.0053283367
p	0.03688758	0.038917974	0.05147893	0.1612714	0.64616835	0.065275766
à	0.08643945	0.11266196	0.23051955	0.015893098	0.22627212	0.32821378
o	0.019143071	0.020611515	0.031156827	0.11927443	0.4253593	0.38445488
</S>	0.022804897	0.023712978	0.030175686	0.086836725	0.44926453	0.38720515
