 	e	forse	è	entrato	dalla	finestra	il	ladro	</S>
c	0.9902492	0.007096371	7.871505e-05	0.0025481859	2.714561e-05	3.0391436e-07	2.7302358e-08	2.5583747e-08	1.8473877e-08
e	0.80147326	0.19800612	2.4409052e-05	0.00049390446	2.2027011e-06	6.509437e-08	2.2379904e-08	7.3503412e-09	6.662046e-09
f	0.45816195	0.537068	0.00034735256	0.0044226716	2.0146741e-08	8.6451746e-10	7.7238227e-10	7.6273027e-10	7.3595174e-10
ò	0.7200803	0.21590465	0.043256458	0.020647686	9.711405e-05	1.3708571e-05	7.994804e-08	2.3430522e-09	9.163264e-10
r	0.19890954	0.67526084	0.10474154	0.021087049	9.826409e-07	3.1093645e-08	1.8955898e-08	1.9666166e-09	9.259306e-09
s	0.2404759	0.54357046	0.12280021	0.09296627	0.00018703946	5.6492762e-08	7.1611383e-10	9.3018e-11	1.0548043e-10
i	0.9031362	0.06626004	7.4109004e-05	0.030527879	1.8008445e-06	1.4453172e-08	2.4219091e-09	2.1780568e-09	3.439926e-11
è	0.107879	0.39401537	0.4689169	0.0291819	6.7903634e-06	7.027191e-08	2.8206508e-09	3.0498087e-10	1.3573546e-09
n	0.056571934	0.16984597	0.7585683	0.0149346385	7.904044e-05	1.5933801e-07	1.4514195e-08	1.5001591e-09	6.8340995e-09
a	0.12992275	0.17810221	0.5735103	0.11712192	0.0013351144	7.626651e-06	6.472901e-08	7.2727695e-09	9.656356e-10
m	0.17386384	0.19668075	0.59245867	0.027696133	0.009169871	0.00013067339	5.822821e-08	2.116848e-09	6.688588e-09
b	0.23632476	0.15841466	0.18012415	0.40844786	0.0109186	0.0048794886	0.0008876545	2.3002012e-06	4.5374367e-07
ì	0.002250946	0.019831134	0.014404769	0.96127	0.0022255608	1.717167e-05	4.0837216e-07	2.82583e-08	3.752114e-09
k	0.04812157	0.060609657	0.2520171	0.07200451	0.550063	0.017181879	1.8546539e-06	6.232206e-08	3.1536223e-07
e	0.2655438	0.17546928	0.19050151	0.36193165	0.0061395084	0.00018065964	0.00021316293	2.0353373e-05	5.2130847e-08
à	0.08401586	0.08596926	0.114173695	0.094063714	0.58638364	0.035315543	7.5938326e-05	1.683182e-06	6.2627583e-07
t	0.04365647	0.04562624	0.07299758	0.03604522	0.48478168	0.31629792	0.00041150773	4.090185e-05	0.00014243402
t	0.12361569	0.118998215	0.17886493	0.14734328	0.33291984	0.09306105	0.004494381	0.00024898234	0.00045361478
i	0.048934706	0.0058568623	0.0068345135	0.91166836	0.022215351	0.0043502264	0.00012661413	1.1982996e-05	1.4248241e-06
f	0.073169224	0.074031375	0.07836484	0.07598035	0.2460799	0.44028628	0.011346688	0.0004424713	0.00029886502
i	0.12638658	0.08766051	0.0841043	0.15127324	0.24648103	0.21941921	0.034283016	0.014217423	0.036174685
n	0.055777982	0.056070074	0.05827901	0.05700051	0.14535461	0.4998272	0.11664486	0.007689677	0.0033559992
è	0.029156625	0.028952248	0.032937612	0.029960763	0.17312194	0.48799917	0.14935459	0.015095938	0.0534211
s	0.0349233	0.03509906	0.037395034	0.0354907	0.1358108	0.49627677	0.20316161	0.016607499	0.0052352473
t	0.026102617	0.02579229	0.030135892	0.027681058	0.19756691	0.48142532	0.12938301	0.04057982	0.041333105
r	0.03378122	0.009223215	0.0040071933	0.47933578	0.052089732	0.1476837	0.14946286	0.11610696	0.008309375
a	0.027471801	0.027550006	0.018628327	0.16314417	0.25757438	0.2880034	0.18321365	0.022935655	0.011478558
o	0.021599805	0.021780014	0.022031942	0.021881346	0.03195125	0.09768754	0.3026218	0.28658393	0.19386238
l	0.03705587	0.03707929	0.03739566	0.036914054	0.047714025	0.1252349	0.44437042	0.15533835	0.078897454
à	0.029157583	0.021266168	0.019753195	0.03133053	0.013120631	0.031606384	0.19535008	0.50912225	0.14929318
d	0.017420541	0.01742453	0.017567141	0.017470961	0.022765854	0.05734341	0.21642332	0.32677218	0.30681202
r	0.01569112	0.0150033785	0.015599541	0.015946586	0.024707679	0.08359214	0.24099256	0.2453789	0.3430881
o	0.00550711	0.003099057	0.0023932897	0.077785894	0.0068827784	0.02154986	0.42412424	0.44957435	0.009083472
</S>	0.019712904	0.02004853	0.02006233	0.020086221	0.02159361	0.03050433	0.09733995	0.3431661	0.42748594
