 	se	vieni	alle	sette	ancora	non	è	pronto	</S>
a	0.7375546	0.2577129	0.003985289	0.00066868385	7.250368e-05	1.3647115e-06	2.3815226e-06	1.6683584e-06	6.032433e-07
n	0.27508855	0.724524	0.00038718685	2.6173782e-07	2.6565734e-09	8.5673946e-10	8.0377216e-10	8.1857215e-10	7.9870915e-10
è	0.55223686	0.115475856	0.19752902	0.13357124	0.0011733017	1.2731484e-05	8.020948e-07	2.0715555e-07	3.101551e-09
r	0.0680332	0.16316059	0.5944636	0.17433217	1.0024274e-05	3.818e-07	3.967951e-08	2.7200484e-09	6.8239596e-09
t	0.14799814	0.43603143	0.36819974	0.047579207	0.00017764699	2.8163781e-06	1.095506e-05	2.6483638e-09	1.1586235e-08
i	0.7965794	0.18669483	0.016271448	0.00045390386	3.2424117e-07	3.9421668e-08	1.2357708e-07	2.3307745e-08	9.5346675e-11
s	0.05282396	0.11972739	0.5439691	0.28347543	3.9695524e-06	2.3120555e-07	9.072779e-09	3.9971806e-10	1.5611687e-09
e	0.239877	0.17543001	0.3514806	0.22538622	0.0072362893	0.00050445047	8.461828e-05	7.615706e-07	9.3233034e-08
s	0.061853964	0.075273484	0.24909063	0.6132992	0.00042942006	5.2609204e-05	7.651835e-07	8.690839e-09	2.9817848e-08
i	0.08231319	0.10167238	0.27706876	0.47346434	0.041537587	0.020910168	0.0029905406	3.8643582e-05	4.409228e-06
t	0.059516076	0.06649342	0.16291901	0.67064023	0.037304603	0.0030448865	7.863724e-05	3.2892768e-07	2.772858e-06
t	0.06464666	0.0647197	0.119459905	0.56343585	0.06843016	0.09744011	0.01926037	0.0024975326	0.000109608045
à	0.0059728334	0.006455531	0.21976249	0.75721645	0.0010563631	0.004580463	0.002437127	0.0021855135	0.00033316694
a	0.059194677	0.038799323	0.1192542	0.49496213	0.24937373	0.03272264	0.0056651323	2.6194442e-05	2.015225e-06
n	0.025942268	0.027843082	0.054315817	0.23218612	0.50725645	0.07703773	0.0751633	4.5060115e-05	0.00021013456
k	0.08217112	0.012512867	0.12135547	0.32184952	0.26302043	0.14591655	0.04184031	0.01119097	0.00014279982
ò	0.014783517	0.072803676	0.528877	0.2681879	0.0064698374	0.020908343	0.022122584	0.04581613	0.020031
r	0.015382034	0.0155029865	0.026232844	0.10117905	0.28170323	0.3372812	0.21603285	0.0020230792	0.0046627168
a	0.021325665	0.01031739	0.03411114	0.13347313	0.33765206	0.122179784	0.26982516	0.044828046	0.026287585
e	0.038558044	0.040653754	0.04446476	0.05990595	0.2041085	0.07944537	0.46184763	0.027098026	0.04391791
n	0.026777416	0.026771659	0.028065488	0.036289804	0.121581376	0.28888106	0.39045832	0.059999168	0.021175796
è	0.042864323	0.03548332	0.04328351	0.05058943	0.10605493	0.26745492	0.27336246	0.11158081	0.0693263
p	0.029441703	0.02930285	0.029988823	0.034850337	0.08225628	0.20397744	0.30804342	0.22939467	0.0527445
r	0.026629038	0.026403712	0.023838993	0.031132922	0.0770311	0.18943529	0.19667761	0.41609085	0.012760599
ò	0.0034164188	0.0022347975	0.018216074	0.020629013	0.0013765206	0.009455119	0.02509753	0.90939355	0.010181048
n	0.015827376	0.015855586	0.016245691	0.01880612	0.04495322	0.11156732	0.17892042	0.28931606	0.30850825
t	0.055704676	0.00809154	0.06847904	0.068398416	0.034640845	0.027233506	0.08615395	0.53368145	0.11761662
o	0.02745544	0.008870872	0.027812794	0.030619783	0.006781885	0.010432379	0.029001579	0.822596	0.036429264
</S>	0.026054436	0.027292196	0.028183347	0.0285581	0.029895542	0.037793703	0.047952313	0.20209824	0.5721721
