 	voglio	che	Maria	viene	domani	</S>
t	0.99959904	0.00039981477	4.99368e-07	5.3693594e-07	3.8847208e-08	7.7325595e-08
è	0.99509466	0.0049052937	1.549006e-07	4.7799276e-09	2.3257192e-09	6.674885e-10
l	0.97266924	0.027327608	2.5337208e-06	3.9263008e-07	2.410725e-07	3.9544673e-08
o	0.6069096	0.3930887	1.763616e-06	2.9016556e-08	3.3437622e-08	8.1406535e-09
e	0.2226492	0.776661	0.0006845536	3.4325187e-06	1.787055e-06	1.0795333e-07
M	0.089486495	0.13958523	0.58445734	0.03164421	0.15462258	0.00020423954
a	0.60305744	0.32808483	9.568932e-05	0.0640431	0.0002954929	0.00442345
r	0.05828706	0.21886854	0.3416792	0.28545707	0.02015097	0.07555715
ì	0.07497001	0.31421646	0.0010832885	0.28333563	0.001020445	0.32537422
a	0.07509658	0.16808854	0.71351594	0.011184511	0.02399447	0.00811999
n	0.027997632	0.05865353	0.18630585	0.37367362	0.23753989	0.11582954
a	0.07347776	0.07340929	0.36400104	0.11414092	0.29295695	0.08201403
r	0.028441025	0.031357896	0.18157113	0.41237223	0.19267488	0.15358286
t	0.05737838	0.060039703	0.010328128	0.32472363	0.017827228	0.5297029
i	0.9411197	0.007846472	0.0053027263	0.0012813612	0.001885322	0.042564537
à	0.013481981	0.015117661	0.15542638	0.2023721	0.3101445	0.30345738
v	0.01582981	0.016394075	0.075448975	0.13999994	0.3539077	0.39841947
v	0.04731199	0.04722032	0.0089025665	0.090483926	0.01943945	0.7866418
r	0.81619513	0.006894483	0.00052789383	0.00068767817	0.0025796506	0.17311513
i	0.86928695	0.032091428	5.4917546e-05	0.001206379	5.383465e-05	0.09730639
</S>	0.050509416	0.04723235	0.00052873534	0.036955837	0.004187684	0.8605859
