 	non	deve	magniare	la	sera	</S>
e	0.99908066	0.00044067734	0.00011120906	0.00010138068	0.00026392197	2.1649173e-06
n	0.9814497	0.018264292	0.0002795274	3.8049234e-06	1.809364e-06	8.412976e-07
è	0.22917031	0.7664503	0.0029762746	0.0014021755	1.0022951e-06	2.0768203e-09
n	0.16216409	0.7141119	0.112989604	0.010728001	2.4999426e-07	6.043e-06
a	0.0722832	0.37703016	0.4743001	0.07545394	0.00085883006	7.370193e-05
f	0.053087328	0.16422261	0.3724721	0.40823814	0.00039016182	0.0015895914
à	0.069955945	0.07960173	0.6443717	0.062085327	0.141377	0.0026082534
i	0.031861298	0.10331323	0.32989305	0.513813	0.0068953587	0.014223991
t	0.047625724	0.082868986	0.27256408	0.58030105	0.0108063435	0.0058338563
o	0.04842625	0.06467835	0.21464206	0.3414774	0.30852407	0.022251885
v	0.07223	0.080119364	0.12024699	0.24273293	0.42225984	0.06241093
r	0.030666921	0.02659742	0.07821614	0.117868185	0.70787466	0.03877668
à	0.0015920759	0.005658485	0.0011106237	0.00643858	0.98356134	0.0016389545
i	0.029000051	0.03489033	0.069024235	0.17983969	0.08433521	0.6029106
</S>	0.038444817	0.03908767	0.042141303	0.063881435	0.07775884	0.7386859
