 	tu	le	hai	cucinati	le	verdure	</S>
e	0.86565095	0.13312319	0.0005609011	0.0006295138	1.6316164e-05	1.901414e-05	1.9450349e-07
s	0.022632433	0.9757631	0.0011424227	0.00042693716	1.5297986e-06	3.3782173e-05	3.0001942e-08
ù	0.5570385	0.32094172	0.03037494	0.09124816	0.0003961708	6.22901e-07	1.7867827e-10
t	0.09407638	0.8024376	0.10332047	0.00016433919	4.3302705e-07	6.518733e-07	4.0797485e-08
a	0.08786114	0.43094012	0.43754682	0.04357912	5.6052173e-05	1.6815395e-05	2.119021e-08
m	0.06600054	0.32930794	0.5436052	0.061029725	5.6121575e-05	1.8121908e-07	2.2873046e-07
à	0.059706915	0.10119843	0.23338112	0.6033969	0.0022440078	7.214081e-05	4.948915e-07
r	0.045465145	0.08849802	0.50243145	0.34653348	0.017026195	2.5335812e-05	2.0294141e-05
e	0.02731272	0.10526517	0.4167717	0.43588415	0.0109280255	0.003805774	3.2433512e-05
t	0.043666285	0.054867405	0.19844897	0.31250194	0.39012805	0.00033171554	5.5759905e-05
s	0.07071671	0.05975369	0.26220256	0.5223336	0.055731244	0.028933112	0.0003290908
e	0.016989551	0.08139804	0.020076506	0.7051273	0.020404045	0.15596671	3.7940903e-05
t	0.052061826	0.05530531	0.09239918	0.13349724	0.6339458	0.030879186	0.0019114644
a	0.05168148	0.036076188	0.09365607	0.18656026	0.5474541	0.07082747	0.013744429
l	0.06286898	0.06457549	0.08379316	0.10409674	0.60985476	0.05359406	0.021216834
à	0.03732001	0.039327547	0.04869757	0.07267608	0.2753308	0.37944916	0.14719889
c	0.026474405	0.027055666	0.0344958	0.042180736	0.25995758	0.048992895	0.56084293
h	0.053423297	0.03059157	0.05125423	0.07058338	0.48315796	0.19409756	0.11689198
a	0.007843022	0.23671211	0.08158475	0.12441935	0.50329506	0.038790237	0.007355425
n	0.03126149	0.03496705	0.03777927	0.040650286	0.14605464	0.12070115	0.5885861
a	0.058600094	0.034189533	0.04860713	0.059376143	0.25096205	0.17667492	0.3715901
</S>	0.03411088	0.03422098	0.03481716	0.0353811	0.05391888	0.038074978	0.769476
