 	entrò	da	qui	</S>
m	0.9996476	0.00023539587	0.000116747426	2.32082e-07
b	0.99746144	0.0025268283	1.1668785e-05	2.3027082e-08
ì	0.9999722	2.73245e-05	5.1918795e-07	1.0321357e-08
k	0.27799833	0.7219855	1.47438395e-05	1.4702846e-06
e	0.93461865	0.058346745	0.0070289453	5.649904e-06
a	0.34823358	0.64763343	0.0039351666	0.00019790987
p	0.051337678	0.08933013	0.81321603	0.046116088
ò	0.46133795	0.03943283	0.4849476	0.014281625
t	0.02199661	0.04961508	0.44101962	0.4873686
t	0.04062933	0.05978661	0.6008795	0.29870453
u	0.5108885	0.047519524	0.42820394	0.013387963
</S>	0.03906573	0.042655684	0.19619662	0.72208196
