 	il	dito	si	gonfiò	</S>
o	0.9580036	0.04187793	8.603702e-05	3.0928106e-05	1.4950001e-06
d	0.48961413	0.5102988	8.156938e-05	2.804192e-06	2.7186938e-06
à	0.42729574	0.5243996	0.042457726	0.0058094137	3.7507107e-05
t	0.34554547	0.63707304	0.017202226	0.00017767443	1.6058515e-06
t	0.34326345	0.6348174	0.018404804	0.0035019952	1.2362239e-05
i	0.9291961	0.070512	0.00028952252	2.1910253e-06	6.5382494e-08
l	0.18667078	0.43318626	0.37303412	0.0068423734	0.00026644662
o	0.13257396	0.5121103	0.22671178	0.117739886	0.010864052
è	0.10450781	0.15055683	0.6684557	0.034316458	0.042163223
p	0.038674198	0.06692792	0.3725969	0.42100653	0.10079441
r	0.045742806	0.057144206	0.19136816	0.64476097	0.060983863
i	0.18754533	0.29669264	0.3515429	0.15852173	0.0056974282
m	0.0306821	0.03309673	0.06386654	0.18191302	0.6904416
m	0.06755362	0.07365519	0.12843311	0.6439747	0.0863834
è	0.34713614	0.16806655	0.31411135	0.15704297	0.013643029
n	0.029288067	0.030397063	0.043816775	0.18791401	0.7085841
o	0.056796744	0.060855135	0.14420629	0.50330025	0.23484159
</S>	0.03223271	0.03294748	0.041157752	0.15385604	0.73980594
