 	sto	e	cucino	</S>
e	0.99778533	0.0012095964	0.0010033641	1.6940199e-06
s	0.8721415	0.12448363	0.0033700257	4.910174e-06
t	0.8911237	0.1067068	0.0020116484	0.00015787508
è	0.99251395	0.007086669	0.00036087332	3.8422644e-05
c	0.2073182	0.72488254	0.06743012	0.00036911826
e	0.159833	0.7564504	0.08279283	0.000923693
m	0.04283767	0.2880165	0.6311473	0.037998483
a	0.4169185	0.5296577	0.03067979	0.022744004
r	0.032759648	0.10456368	0.4713506	0.39132604
è	0.031295046	0.10211036	0.46342131	0.40317336
o	0.024988513	0.06346733	0.47491112	0.43663296
</S>	0.02098163	0.055204466	0.44145322	0.48236066
