 	non	sono	andati	</S>
e	0.99864596	0.0010502443	0.00028846497	1.5310743e-05
n	0.9623452	0.037382185	3.391697e-05	0.00023870914
è	0.7966145	0.20200078	0.0006015656	0.0007831079
c	0.14772163	0.7696873	0.044716004	0.037875067
h	0.120563686	0.5263349	0.33665687	0.016444592
u	0.15063398	0.2661396	0.574246	0.008980409
n	0.041537784	0.2833698	0.44260073	0.23249158
e	0.08405584	0.42999956	0.40070096	0.08524363
p	0.029220084	0.06943808	0.45401567	0.44732615
a	0.029547637	0.01953993	0.9222291	0.028683336
m	0.024193658	0.04269795	0.3720721	0.5610363
è	0.027257727	0.013093613	0.9390536	0.020595064
n	0.029303294	0.037633754	0.27365565	0.6594073
a	0.13969754	0.1403252	0.49599603	0.2239812
</S>	0.04473119	0.04842296	0.16291215	0.74393374
