 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a	0.9369502	0.05824077	0.0038202999	0.0004057977	0.0005588713	1.28488255e-05	2.2057977e-06	7.902912e-06	6.0639485e-07	2.5767207e-07	2.6957485e-07
n	0.8355027	0.1643501	0.00014708217	1.1981422e-07	1.0939322e-08	1.1485185e-09	1.1020321e-09	1.4230623e-09	1.056242e-09	9.802892e-10	6.3667566e-10
ì	0.29791752	0.5552548	0.12738395	0.01763749	0.0018038411	2.2996592e-06	6.6508923e-09	1.2214956e-08	4.6566384e-10	6.023664e-11	1.3980024e-11
c	0.07344359	0.15587725	0.53693783	0.2275884	0.006146481	6.330913e-06	7.0719715e-08	3.0719637e-08	9.927599e-09	1.9095806e-08	2.946819e-10
h	0.2191922	0.40426007	0.2985069	0.0630281	0.014993963	1.8463592e-05	2.7294342e-07	1.0889562e-07	5.797617e-10	4.5127777e-10	5.584568e-11
e	0.63832617	0.2938774	0.06403008	0.002056181	0.0017065387	3.575885e-06	7.0767886e-10	3.9444217e-09	5.6234326e-11	2.9859615e-11	1.16384125e-11
n	0.06296546	0.2161899	0.49361628	0.2229882	0.004235941	4.214743e-06	1.6842861e-08	3.393414e-08	8.1366275e-10	2.1893558e-09	9.048296e-11
d	0.05384737	0.14545482	0.55887324	0.21973997	0.021175895	0.00090814003	4.7237023e-07	5.014068e-08	2.0621413e-09	3.501283e-09	2.855042e-10
ì	0.4788535	0.2962005	0.14031363	0.075275235	0.009174436	0.00018042637	2.3014124e-07	2.1115193e-06	2.494292e-08	9.813048e-10	2.1146052e-09
s	0.036890004	0.08537437	0.32673606	0.48197177	0.06696358	0.0020534014	5.907508e-06	4.681507e-06	1.8910804e-07	6.66947e-09	1.5876983e-09
o	0.042825192	0.0907941	0.32385337	0.48281777	0.05689896	0.002725493	7.381516e-05	1.1209645e-05	1.2023015e-07	5.8223706e-09	4.037225e-09
n	0.0768412	0.08615331	0.14314352	0.43823016	0.24941044	0.006155927	6.385119e-05	1.5482397e-06	5.6693043e-08	4.054504e-09	2.5034212e-09
t	0.059060782	0.06766735	0.12844278	0.49343053	0.113048434	0.13636202	0.0019809897	7.0505644e-06	5.5541424e-08	5.1609497e-08	8.5780844e-10
a	0.65633327	0.066894755	0.10854316	0.12731601	0.014787514	0.02189216	0.003800013	0.0003962904	3.6381327e-05	4.2243263e-07	8.549e-08
i	0.033977363	0.035683192	0.047263533	0.15239337	0.46674344	0.26166236	0.0022586235	1.7489345e-05	5.739437e-07	3.1711163e-08	1.9676094e-08
k	0.054326866	0.055404957	0.06239659	0.12166951	0.432376	0.26905522	0.004524264	0.00023493472	1.0319852e-05	1.1868807e-06	1.3846609e-07
i	0.5576722	0.09705555	0.03427677	0.07572176	0.04803974	0.13100888	0.023763299	0.030636216	0.0018071894	1.7054621e-05	1.333296e-06
a	0.029035123	0.03009397	0.037550803	0.1082671	0.37236518	0.40555215	0.014406517	0.0026924084	2.5349944e-05	1.8382817e-06	9.580394e-06
t	0.03937514	0.040207162	0.04564043	0.09251412	0.33763257	0.4366124	0.0063869674	0.0015311773	9.069935e-05	3.0829058e-06	6.21415e-06
è	0.06465104	0.04587734	0.024851974	0.05246013	0.10616724	0.32003307	0.15461981	0.21772173	0.01327736	0.0002724883	6.778945e-05
r	0.036094695	0.03638928	0.03830628	0.054058284	0.14769354	0.35675913	0.32891878	0.0016560069	0.00010269562	1.050216e-05	1.0874853e-05
a	0.018150209	0.01864584	0.022159822	0.055609655	0.2033074	0.3425446	0.3091461	0.025860177	0.004385294	0.00011392113	7.697836e-05
i	0.06393247	0.06418162	0.06510197	0.07324594	0.118058875	0.24580814	0.2933466	0.063951984	0.011704582	0.00018872967	0.0004790677
n	0.103505984	0.10364127	0.10448586	0.11108503	0.1462386	0.24275571	0.10520032	0.030296426	0.0352062	0.00042725817	0.017157426
ì	0.06366701	0.06278361	0.061149154	0.06967126	0.10741923	0.2356542	0.19447994	0.14243749	0.06150906	0.00077015324	0.00045893664
c	0.07317884	0.07313643	0.07342222	0.0785515	0.10478484	0.18721406	0.36792135	0.01916754	0.016775135	0.000105225554	0.0057429103
h	0.09388444	0.093913235	0.0943568	0.1007479	0.13576011	0.23033184	0.17370793	0.03813028	0.038360152	0.0002460514	0.0005613739
a	0.10791577	0.013538191	0.0062677497	0.00832294	0.024209972	0.029023735	0.011035499	0.36289716	0.43428066	1.1280362e-05	0.0024970255
p	0.02426158	0.024584865	0.024607496	0.025425026	0.02946022	0.04169048	0.11236259	0.13780738	0.39668825	0.07749923	0.10561289
à	0.04259866	0.029143712	0.014238729	0.02141819	0.037736293	0.047401525	0.042344622	0.18790883	0.5449482	0.0011240618	0.031137185
r	0.022205021	0.022214647	0.022273635	0.022770511	0.025310991	0.032995645	0.07945083	0.09845195	0.3316296	0.05985023	0.282847
o	0.02703797	0.02501142	0.020916807	0.023915237	0.030640468	0.04170423	0.10682619	0.15468237	0.47080883	0.016207092	0.0822494
n	0.022250915	0.022879776	0.022778653	0.0229709	0.023629984	0.025282165	0.034338538	0.039885886	0.18377063	0.2476907	0.35452184
t	0.038389344	0.038373705	0.037917145	0.03853742	0.041003283	0.04749298	0.08390084	0.10754473	0.46901646	0.044517133	0.053306945
a	0.5212932	0.0429159	0.032251883	0.022403652	0.041544773	0.047478132	0.016554995	0.07170477	0.113988884	0.0015846435	0.08827916
s	0.018709889	0.018965656	0.018871058	0.019001456	0.019398682	0.020337244	0.025473686	0.02872912	0.12016603	0.3000274	0.41031983
t	0.046004128	0.03337484	0.017958416	0.025396165	0.03975734	0.039964873	0.036659118	0.07228979	0.33365563	0.13482407	0.22011569
i	0.03091347	0.12309048	0.15859245	0.093942404	0.072027594	0.10313487	0.03128069	0.044477	0.02104702	0.00034288192	0.3211511
n	0.022410907	0.024439508	0.02435095	0.024476226	0.024772758	0.025387796	0.028735766	0.03077605	0.08841518	0.19545466	0.5107802
a	0.0479416	0.047778815	0.045973122	0.047096245	0.049469087	0.053152733	0.069149494	0.08518041	0.33928668	0.13117805	0.083793804
