 	vuole	andare	a	Lecce	</S>
i	0.9946405	0.0052876063	4.1136856e-05	3.0304602e-05	3.9031178e-07
t	0.89761627	0.10237126	9.930462e-06	1.4727018e-06	1.0885991e-06
è	0.39727217	0.548718	0.05310354	0.0009059849	3.874215e-07
l	0.43535185	0.56449807	0.00014840678	2.0609868e-07	1.4843365e-06
i	0.2455207	0.73667616	0.017759427	4.3196324e-05	5.435028e-07
n	0.13164727	0.38006315	0.48813286	6.837414e-05	8.8318564e-05
a	0.10388497	0.23059498	0.6427402	0.021867473	0.00091239385
p	0.101697825	0.2161907	0.48838863	0.16266572	0.031057142
à	0.17514333	0.23039761	0.30092326	0.28593403	0.0076017207
i	0.029026348	0.053724147	0.34022546	0.26795954	0.30906448
L	0.035279714	0.04553443	0.19146651	0.5753605	0.15235884
u	0.06224063	0.07201994	0.1831024	0.5564717	0.1261654
p	0.035299506	0.037884247	0.0782535	0.5747677	0.273795
p	0.04404983	0.04663166	0.07962666	0.29250523	0.53718656
ì	0.13947909	0.02245515	0.0053888904	0.73028976	0.10238711
u	0.021763498	0.02317511	0.045462333	0.35851774	0.5510813
n	0.030295126	0.030883783	0.039634023	0.2495631	0.64962393
a	0.19901568	0.11748706	0.17943992	0.280876	0.22318137
</S>	0.04510271	0.045367546	0.048327044	0.12163478	0.7395679
