 	se	si	era	vestito	il	mio	fratello	l	avessi	portato	con	me	</S>
a	0.74178654	0.2574567	0.00042055195	0.00014592767	8.4084764e-05	6.967734e-05	3.441954e-05	1.415814e-06	1.6633221e-07	2.5093053e-07	1.0940014e-07	1.0131454e-07	1.05915e-07
n	0.6020805	0.3978465	7.293287e-05	8.2961e-08	2.4329958e-09	1.2989348e-09	1.3627659e-09	1.2264688e-09	1.2327518e-09	1.3172026e-09	1.2000497e-09	1.183917e-09	1.006903e-09
ì	0.2987499	0.41560557	0.27387652	0.01098111	0.0007014708	6.877186e-05	1.661041e-05	6.306638e-08	3.1582623e-10	1.1404496e-08	7.450951e-11	2.9422831e-12	1.8935237e-12
c	0.059952453	0.10704899	0.5599748	0.27113587	0.0018854142	1.7796518e-06	6.526271e-07	2.4493234e-08	2.3141289e-09	8.144879e-09	2.212297e-09	2.4562916e-10	7.631547e-11
h	0.26430452	0.4756154	0.16165562	0.097061284	0.0013555981	2.4096357e-06	5.172279e-06	1.0780567e-08	7.5832346e-10	1.2455799e-09	1.4521662e-10	7.107771e-11	3.3326734e-11
e	0.48339358	0.51026785	0.0054863775	0.00070339104	0.00013744253	1.105941e-05	1.7632365e-07	3.5146697e-09	1.7142121e-11	8.3029535e-11	1.6299106e-11	8.197019e-12	2.7404674e-12
n	0.10188402	0.25299826	0.37861905	0.25482464	0.011669521	2.5414683e-06	1.9440713e-06	1.1691685e-08	1.291904e-09	3.8413415e-09	1.5538483e-10	1.636424e-10	1.3677948e-10
d	0.053846143	0.109057724	0.37507182	0.43205166	0.029840577	2.6617396e-05	0.00010529613	1.0773882e-07	2.677828e-09	2.7223658e-08	1.789549e-10	7.360039e-12	3.75102e-11
i	0.50849515	0.34762976	0.07486409	0.06100698	0.0075485534	0.00044445667	1.0595467e-05	3.5472146e-07	5.550023e-09	6.737278e-08	4.113689e-08	8.176706e-09	1.754337e-10
s	0.027784064	0.045137573	0.24140057	0.40659845	0.27848956	0.00027518644	0.0003130734	1.3969363e-06	1.4154236e-08	4.307679e-08	3.0239963e-10	2.902851e-10	1.8617018e-10
ò	0.043006256	0.069468476	0.15725732	0.57551926	0.13282323	0.008808089	0.0130117545	8.698746e-05	4.498693e-06	1.3087206e-05	9.997004e-07	1.4292753e-09	1.2304584e-10
n	0.0439926	0.0537208	0.22072685	0.5174736	0.16050285	0.0020957878	0.001448694	3.6934158e-05	1.100612e-06	7.11729e-07	6.105121e-08	2.3129383e-09	5.851843e-09
t	0.028725334	0.038915806	0.11171837	0.3285525	0.44759557	0.026767481	0.017669456	5.5111504e-05	1.8464371e-07	1.4295236e-07	9.9500276e-11	2.1213824e-11	2.2506361e-11
a	0.4972846	0.12724191	0.015149847	0.08814679	0.23777255	0.030826692	0.0030563842	0.0004666244	1.50779315e-05	3.88263e-05	6.8654384e-07	1.1103432e-07	2.0075406e-09
o	0.043459665	0.045318794	0.070461005	0.19807193	0.5495601	0.06331764	0.029708095	0.00010149793	6.6166683e-07	5.993257e-07	1.4824712e-08	1.7530954e-09	5.1921054e-09
a	0.04198216	0.042930022	0.05622538	0.11928567	0.38508767	0.23268351	0.119635664	0.002116266	5.015779e-05	3.414895e-06	9.119531e-09	2.9622468e-10	4.9343813e-09
d	0.059473515	0.060026735	0.06696385	0.10350442	0.2821392	0.26392412	0.14866896	0.014973721	0.0003235874	1.8259922e-06	4.222591e-08	1.0316398e-09	6.348288e-09
e	0.07190226	0.0688998	0.019328857	0.13444102	0.3403451	0.20618765	0.11523044	0.04320741	0.0004429156	1.28233205e-05	1.5840554e-06	4.8560562e-08	5.961427e-09
r	0.028807387	0.028907742	0.02686049	0.048375912	0.14204332	0.28089994	0.37794146	0.06582717	0.00032559017	1.02506365e-05	2.1341128e-07	2.9683127e-07	1.7682346e-07
f	0.048269346	0.04978289	0.03538424	0.13189095	0.3349279	0.2349464	0.0976646	0.055142153	0.011046958	0.00085053314	8.459258e-05	9.354044e-06	1.3076831e-07
ò	0.00822849	0.037823558	0.0199868	0.019038713	0.04374099	0.76158094	0.04290937	0.05317269	0.013498231	1.8809022e-05	1.3703213e-06	5.430933e-08	2.2230507e-08
m	0.04177784	0.042239286	0.04899133	0.07783447	0.23217978	0.07393863	0.4518853	0.019987864	0.0098894	0.0012199727	5.251663e-05	1.5143441e-06	2.167126e-06
m	0.024472129	0.023087235	0.005645603	0.03281638	0.11759533	0.24489832	0.29815388	0.16770558	0.080950856	0.004145305	0.0005162831	1.2687766e-05	4.515688e-07
u	0.024491532	0.009546795	0.012097391	0.016243732	0.058169	0.82449937	0.029992452	0.019729827	0.0024172168	0.0027927717	1.867851e-05	4.1547736e-08	1.1613738e-06
o	0.039567947	0.04076577	0.041443	0.047187705	0.075858824	0.13999233	0.26351377	0.30713773	0.04126387	0.0029648647	0.0002598913	4.3452867e-05	8.3263257e-07
n	0.032649204	0.032718025	0.033516813	0.037594426	0.058882397	0.10948433	0.18953049	0.43325683	0.060197953	0.008483486	0.0032705702	0.00031639668	9.899402e-05
ì	0.0432774	0.043172654	0.037049156	0.046392266	0.06356386	0.09847188	0.12175026	0.42766404	0.086865865	0.029408913	0.0014568517	0.0009219272	4.9161963e-06
c	0.044483434	0.044490695	0.043746892	0.047570787	0.061051067	0.0911274	0.17002073	0.29113972	0.19935969	0.00501163	0.0015752717	0.00021829971	0.00020429435
h	0.042505015	0.042535964	0.041877206	0.04588502	0.06103137	0.09678351	0.17915688	0.37339103	0.07748288	0.03720381	0.0020264126	8.430403e-06	0.00011242338
a	0.08194184	0.0290187	0.003016631	0.0072051194	0.021277012	0.18645927	0.0060135843	0.22054578	0.13649438	0.29483277	0.01301819	7.0631013e-06	0.00016967788
p	0.033101875	0.03358459	0.03267013	0.03432112	0.03781466	0.04552349	0.06361858	0.1367789	0.25228456	0.25768274	0.06401666	0.0065686665	0.0020340176
à	0.03442543	0.031469844	0.0048278687	0.02412501	0.036068905	0.056558155	0.03450922	0.15122357	0.10786325	0.42943865	0.07995987	0.0031518096	0.006378423
r	0.027922537	0.027931573	0.027980544	0.028607083	0.03135327	0.037582364	0.052471522	0.11340888	0.29071766	0.07737981	0.18199004	0.09484258	0.00781219
o	0.017442102	0.016818965	0.006153756	0.015657488	0.02100038	0.030926876	0.04792995	0.13135847	0.2670721	0.25851175	0.12580337	0.029184677	0.03214013
n	0.03628182	0.03698087	0.035868254	0.03706737	0.037972342	0.03973679	0.043568995	0.059142087	0.114192255	0.19121972	0.2739869	0.033993963	0.059988614
t	0.024507623	0.02452734	0.021668766	0.024522586	0.025931623	0.028626708	0.033695318	0.058761053	0.1278124	0.23649119	0.3361838	0.03279025	0.02448135
a	0.13956483	0.01957195	0.006112469	0.0081422115	0.013509411	0.096197695	0.0023279637	0.08028817	0.026683196	0.27815643	0.31717107	0.0010865906	0.011187995
m	0.02295056	0.023100015	0.021790246	0.02305575	0.023516117	0.02431445	0.025901996	0.032657515	0.05949308	0.09474052	0.3102296	0.13523571	0.20301442
a	0.038964164	0.032542866	0.0027350297	0.019175183	0.03023643	0.040418576	0.01620713	0.043056156	0.030097876	0.16886209	0.4965216	0.011449327	0.06973354
m	0.025021171	0.025390197	0.021435695	0.025025139	0.025622891	0.026262244	0.027085729	0.031580143	0.047917515	0.07085404	0.2591211	0.12669626	0.28798786
