 	l	ho	sentito	che	viene	</S>
o	0.9958525	0.003604847	0.00047111267	6.256455e-05	7.1024133e-06	1.8959006e-06
n	0.84606844	0.13476741	0.019157588	6.124522e-06	5.950532e-08	2.7978388e-07
ì	0.34819853	0.64567876	0.0055578845	0.00056467624	6.555117e-08	7.3675515e-08
k	0.18529421	0.35374966	0.42238596	0.03837521	1.4836985e-05	0.00018018362
u	0.095582105	0.19187437	0.64500135	0.06581386	0.0006779611	0.0010503702
s	0.13069372	0.18002255	0.39809543	0.28283173	0.00014668328	0.008209902
a	0.07907845	0.13286546	0.4239072	0.3559366	0.00016982923	0.008042496
n	0.07579735	0.08622659	0.13799654	0.661336	0.006739746	0.031903803
a	0.24740751	0.12030534	0.05910986	0.3361216	0.020977734	0.216078
r	0.036220502	0.038548224	0.049861893	0.20872834	0.5554091	0.11123195
t	0.06666723	0.06703405	0.07905655	0.14750947	0.12169195	0.5180408
i	0.8030513	0.068277344	0.06787958	0.0025112315	0.00010871075	0.058171857
</S>	0.023338217	0.024251577	0.028713986	0.08955863	0.2812545	0.5528831
