 	dove	aveva	per	stare	non	aveva	</S>
p	0.99243236	0.0073143565	4.0442566e-05	0.00020203974	1.0375928e-05	6.248852e-08	2.2948934e-07
u	0.9617386	0.03819362	6.620158e-05	2.12476e-07	1.3332462e-06	2.2728595e-09	3.0639786e-09
ì	0.0843059	0.9155269	0.00016485581	2.3296668e-06	1.9784854e-09	3.385642e-10	4.0692072e-10
c	0.08988281	0.742595	0.1664185	0.0011003977	3.234887e-06	4.1830557e-09	9.405824e-08
h	0.13383858	0.6022955	0.26328367	0.0005352976	4.6871446e-05	1.0443516e-08	1.2866509e-07
e	0.60115737	0.22256137	0.17103136	0.005244103	5.3708923e-06	3.661518e-07	1.1974169e-09
n	0.07450293	0.258153	0.53989565	0.12734437	0.00010384909	1.8106263e-08	1.8460851e-07
a	0.13821922	0.2644924	0.47825545	0.10954731	0.009401486	8.2036546e-05	2.178618e-06
s	0.044746194	0.07705339	0.39915216	0.46332002	0.01566364	2.6496546e-06	6.198635e-05
t	0.100524835	0.08706127	0.27653116	0.45872104	0.058147456	0.016292762	0.00272151
a	0.1268743	0.03624768	0.016874805	0.812704	0.004108286	0.0014599514	0.001731006
s	0.03928577	0.05056152	0.20370117	0.40022725	0.29490605	0.0077731935	0.003545017
ì	0.025152897	0.035539314	0.17178214	0.038015537	0.2928335	0.2667146	0.169962
e	0.05731527	0.0588687	0.07695108	0.086924806	0.5830193	0.06304732	0.07387349
n	0.046201102	0.04738847	0.060442787	0.09736609	0.5816193	0.12337408	0.04360811
ì	0.048378658	0.049137056	0.057454318	0.0253117	0.3190513	0.12487671	0.37579033
c	0.03900051	0.039226286	0.04206241	0.048710756	0.17741123	0.60047764	0.05311114
h	0.062829904	0.06322662	0.06785141	0.06569022	0.26753327	0.4271225	0.045746084
e	0.1519624	0.022486951	0.05254438	0.056977317	0.13880128	0.48408794	0.093139715
</S>	0.022569317	0.022643236	0.023421513	0.025860535	0.06487504	0.3644916	0.47613877
