 	che	consuma	poco	benzina	</S>
n	0.9874182	0.011930822	0.00063001836	2.0720552e-05	3.1104966e-07
a	0.97263724	0.026885074	0.00047336728	4.242223e-06	2.0141805e-08
k	0.122039884	0.87763435	0.0003258273	1.3121758e-08	8.5454105e-10
o	0.39708698	0.42792496	0.11846729	0.055831283	0.0006895361
n	0.1546122	0.7906546	0.05472479	1.8797724e-06	6.4946507e-06
s	0.14648476	0.740961	0.094342284	0.01763582	0.000576085
u	0.54933786	0.43673244	0.013641446	4.921556e-05	0.00023903293
m	0.06079331	0.37474242	0.55975336	0.004390982	0.00031995532
è	0.14155804	0.6159932	0.15360892	0.061964355	0.026875464
t	0.050870493	0.14115839	0.7826576	0.021638421	0.0036750967
s	0.057668135	0.19928566	0.67256045	0.015868207	0.054617424
i	0.21863121	0.17507325	0.6058277	0.00028914836	0.00017869836
a	0.11044201	0.1420605	0.7164884	0.007479407	0.02352968
l	0.07059541	0.089735955	0.4447005	0.34817755	0.046790555
ì	0.07403496	0.08415621	0.21004944	0.26340356	0.36835587
o	0.026912434	0.029240424	0.072568566	0.51257724	0.35870138
b	0.024757668	0.027689816	0.0814935	0.49864945	0.36740962
e	0.031433556	0.032886337	0.055124536	0.34297806	0.5375775
n	0.030772278	0.031357624	0.040826775	0.33591747	0.5611259
z	0.023690578	0.024370383	0.03762512	0.3562703	0.55804354
ì	0.122950375	0.15978403	0.1786247	0.2805247	0.25811622
n	0.021654284	0.022467539	0.036702882	0.37000448	0.5491708
a	0.051650926	0.04283058	0.07393293	0.30372256	0.527863
</S>	0.046954315	0.04782718	0.050927226	0.13939668	0.7148946
