 	era	molto	stanco	</S>
ì	0.9991522	0.0007403929	0.00010703636	3.696535e-07
o	0.998221	0.0017690328	1.7043678e-06	8.2986935e-06
n	0.17669465	0.81026894	6.185199e-05	0.012974648
e	0.13058491	0.8502599	0.00521674	0.013938417
p	0.10922198	0.81166977	0.0101289	0.06897936
o	0.11699247	0.83460325	0.037925955	0.010478342
d	0.14342542	0.8261539	0.0052363207	0.02518436
d	0.07216284	0.624786	0.15532634	0.14772484
h	0.026199449	0.9498441	0.02388217	7.427053e-05
ì	0.09136735	0.76680464	0.11246697	0.029361019
s	0.10390154	0.5865873	0.056759086	0.25275198
t	0.04813408	0.12369548	0.16646418	0.6617062
r	0.012672151	0.31631765	0.670082	0.0009282981
à	0.045167856	0.20536432	0.74657947	0.0028883787
k	0.04822862	0.051370762	0.10265174	0.79774886
k	0.0492496	0.061399665	0.30323508	0.58611566
o	0.013617223	0.08811534	0.89721715	0.0010503234
</S>	0.06040381	0.06218197	0.107725464	0.7696887
