 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
e	0.9860107	0.01380425	0.00012680903	5.0451203e-05	5.825287e-06	1.8666241e-06	7.54648e-08	5.6802595e-08
t	0.48299614	0.5169567	4.2529657e-05	2.2733275e-06	2.1134645e-06	1.3501126e-07	5.4102777e-08	2.6203745e-08
è	0.4535187	0.49638572	0.042765543	0.00714974	0.00017409453	6.21865e-06	2.8331144e-09	1.5298926e-10
l	0.14502452	0.85276455	0.002209735	6.3719193e-07	4.8406775e-07	5.0803813e-08	6.4200822e-09	3.5009478e-08
i	0.2266231	0.75520456	0.018147605	2.4029627e-05	5.6284216e-07	1.4816342e-07	5.483793e-10	2.631022e-10
f	0.123691164	0.52426094	0.3511605	0.0008792395	7.859186e-06	2.554992e-07	2.5123812e-09	3.5379675e-09
a	0.19097544	0.67507374	0.10516294	0.018957607	0.009799575	3.0641782e-05	7.419244e-08	1.0938294e-08
m	0.09915019	0.24396314	0.614997	0.04115598	0.00068977295	4.370045e-05	4.4275215e-08	1.3786475e-07
è	0.1162971	0.31733075	0.21331936	0.036795463	0.31525066	0.0010026243	1.96536e-06	2.133492e-06
n	0.060421355	0.09319766	0.5101794	0.32629254	0.0097073065	0.00019775199	2.964249e-06	1.0405562e-06
o	0.039676186	0.074903816	0.4793212	0.3800188	0.02550672	0.0005510186	2.2112881e-05	9.0932836e-08
o	0.04186301	0.050567977	0.18760324	0.39951923	0.29185775	0.028559152	9.124599e-06	2.0543277e-05
l	0.061277226	0.06622636	0.13762632	0.28018302	0.4008583	0.0533833	6.39931e-05	0.0003814638
i	0.04532265	0.053746477	0.08501525	0.11301752	0.6965261	0.0038542107	0.00057144795	0.001946376
m	0.049105227	0.051318888	0.07932626	0.18296018	0.3438181	0.28724885	0.0016449677	0.004577489
i	0.04989966	0.058670964	0.058506656	0.07823388	0.6821129	0.005835297	0.014808019	0.051932584
a	0.060268924	0.06157129	0.07747426	0.13371551	0.25092405	0.39275518	0.0077146813	0.015576168
f	0.038030818	0.038619753	0.04645406	0.072297774	0.14289682	0.6233636	0.022395438	0.015941782
o	0.057118066	0.06069832	0.07437164	0.11881979	0.44347903	0.019372366	0.120118804	0.10602195
r	0.036139313	0.036588136	0.039697137	0.05053821	0.07848381	0.4445285	0.19882515	0.11519977
à	0.038098656	0.04056416	0.038822178	0.04499185	0.22261843	0.029561723	0.46250638	0.12283657
</S>	0.02554742	0.025709275	0.027849134	0.035272196	0.05486346	0.37190443	0.1489265	0.30992758
