 	nella	pasta	vuole	sale	</S>
s	0.99206924	0.0077225408	0.00020722412	1.0889369e-06	4.437046e-08
t	0.9447549	0.054889552	0.00035530506	1.9100764e-07	4.865973e-09
i	0.99458814	0.0053982995	1.2510497e-05	6.61479e-07	2.0252678e-07
p	0.16075087	0.8387039	0.00054495194	1.9566586e-07	8.07841e-08
à	0.283641	0.6582043	0.023679722	0.033369463	0.0011054487
s	0.11690504	0.6789378	0.20352277	0.0006060859	2.8349854e-05
t	0.15140001	0.8043038	0.036064073	0.005788839	0.0024431986
a	0.175278	0.82221097	0.002367783	0.00010365004	3.9711278e-05
t	0.06587739	0.15368718	0.75161934	0.026958171	0.0018579565
è	0.05734206	0.19016112	0.4452406	0.11096621	0.19629
l	0.053379104	0.09065554	0.5339172	0.24779795	0.074250236
i	0.039741796	0.094100066	0.49686915	0.25073785	0.11855119
à	0.03527537	0.03783034	0.12834881	0.6154465	0.18309893
l	0.022926832	0.027719297	0.19155379	0.5127927	0.24500737
a	0.034384437	0.036780078	0.11531445	0.54779404	0.265727
</S>	0.03811215	0.038547162	0.052002594	0.2748635	0.5964746
