 	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
t	0.5748157	0.41994748	0.005159036	7.670303e-05	8.0042827e-07	7.366605e-08	1.04368496e-07	2.2996371e-08	1.2562479e-08	1.1404719e-08	1.204583e-08
a	0.9243014	0.070890285	0.0046923957	0.00011595403	2.9309644e-08	2.810155e-09	1.1033455e-09	7.8206205e-11	2.250668e-11	2.0626443e-11	1.1791459e-11
p	0.18899317	0.81083876	0.00016787114	2.0133999e-07	1.4101634e-09	1.1789729e-09	2.829384e-10	1.6531185e-10	1.485315e-10	1.4622065e-10	1.4340698e-10
e	0.58657706	0.12905557	0.023597559	0.259932	0.0007752041	5.575862e-05	6.47858e-06	4.173802e-07	1.5911334e-08	1.4796649e-10	4.8286564e-10
t	0.20486283	0.7746535	0.01123497	0.00924561	3.0341778e-06	1.3714542e-07	1.7050478e-08	4.43768e-09	9.274529e-10	2.47525e-10	2.78294e-10
ì	0.25732163	0.48603746	0.030058715	0.22184746	0.0029713337	0.001744349	1.8889556e-05	1.0503059e-07	2.0173026e-08	2.1838018e-11	3.2237216e-11
a	0.07234031	0.19082965	0.71852946	0.018265698	3.3276097e-05	7.327835e-07	6.189339e-07	3.1770327e-07	1.22721655e-08	2.350484e-10	3.471174e-10
e	0.069252536	0.15358816	0.7395101	0.03761876	2.9206336e-05	1.1242561e-06	1.2426277e-07	5.0754716e-09	1.7293793e-10	8.994725e-11	6.316327e-11
s	0.12541677	0.13936323	0.15571666	0.57543206	0.0031892543	0.0008675201	1.439822e-05	1.5000921e-07	1.224019e-08	3.6183018e-10	1.6429111e-09
ò	0.079960756	0.079976	0.008394624	0.5247499	0.265262	0.04091018	0.0007462582	1.766969e-07	3.614608e-08	2.2345772e-10	1.8207857e-09
z	0.076531895	0.084301226	0.3946322	0.44143733	0.002842014	0.00025082563	3.7154864e-06	7.34957e-07	4.1582236e-08	3.1586886e-08	5.0684857e-08
u	0.06421645	0.07677966	0.4096852	0.41157117	0.036975402	0.0005911265	0.00018052013	3.8125646e-07	9.704453e-08	2.405747e-09	9.766263e-09
n	0.19198534	0.19627021	0.34707606	0.24955615	0.013331879	0.0013121329	0.00046539673	2.7058766e-06	4.5342052e-08	3.0467597e-09	1.2484033e-08
e	0.06855277	0.0706705	0.13932161	0.16459063	0.45914647	0.09577675	0.00193824	2.899792e-06	9.329735e-08	1.1933873e-10	1.3426326e-09
f	0.09461701	0.09578815	0.14199384	0.17373946	0.34221447	0.14903527	0.002567809	4.254052e-05	9.292439e-07	2.8937137e-09	5.5446003e-07
à	0.07817536	0.06671304	0.0021644451	0.15921642	0.13071428	0.41741827	0.14537133	0.00013961873	8.693639e-05	9.641903e-09	3.3714954e-07
i	0.044187505	0.045245122	0.090886846	0.12819329	0.20525718	0.47351614	0.012636619	4.691582e-05	2.6929209e-05	2.4512565e-07	3.1711802e-06
t	0.045768164	0.04638906	0.07203079	0.0895131	0.2211792	0.5131229	0.011701518	0.0001133301	0.00017448822	7.2906505e-07	6.689751e-06
o	0.0308142	0.028351188	0.008860377	0.045345873	0.11749771	0.36868063	0.37808478	0.019952603	0.0023854945	1.3024109e-05	1.4134234e-05
g	0.122821756	0.12204775	0.10893316	0.13652192	0.15871488	0.23836796	0.107503995	0.0006472354	0.0039558713	3.1657288e-05	0.00045387127
e	0.028890587	0.029030984	0.023719613	0.04179202	0.0802287	0.2783022	0.41210058	0.093280464	0.011904478	0.00037193415	0.00037844665
l	0.079074405	0.07867677	0.07089893	0.08667666	0.11006288	0.22471	0.28706837	0.004353525	0.05658528	0.00021891306	0.0016743175
à	0.028387388	0.029138278	0.011294824	0.036195178	0.046547063	0.18729818	0.3599096	0.28874618	0.0080869775	0.002629249	0.0017669973
t	0.05947891	0.059596818	0.064169206	0.06773421	0.09208043	0.23790622	0.32345167	0.020205172	0.07079815	0.0023538198	0.002225368
o	0.02414084	0.023360575	0.013122102	0.027732268	0.046555698	0.13824362	0.25665885	0.3183612	0.117811464	0.028751759	0.0052616885
p	0.061183214	0.06156108	0.06119377	0.063026056	0.066665046	0.086978264	0.13095853	0.10474433	0.32524663	0.016564136	0.021878986
r	0.026493054	0.026158521	0.01613583	0.02772257	0.033352766	0.06901588	0.13651443	0.4011201	0.12285231	0.047382146	0.09325242
ì	0.003581102	0.029875329	0.0070573436	0.04847713	0.05204512	0.11443877	0.621962	0.050458957	0.052401006	0.0023293064	0.017373953
m	0.06366708	0.063705854	0.06479978	0.065595545	0.07087312	0.10082713	0.14189556	0.020213488	0.2999207	0.047198422	0.06130329
a	0.023872565	0.023058992	0.011918973	0.023175925	0.026052305	0.03531018	0.053934835	0.17335624	0.3570585	0.23462676	0.03763472
k	0.028420987	0.029891292	0.02953137	0.03005438	0.030516816	0.032773808	0.037080966	0.06549712	0.24376127	0.07815606	0.39431596
a	0.040966	0.037322797	0.005481937	0.03446473	0.039441727	0.047428954	0.058286294	0.12938207	0.2586529	0.24959418	0.09897842
n	0.019426886	0.023825284	0.022858948	0.023913208	0.02408113	0.024935523	0.026424346	0.035563704	0.11087935	0.19173092	0.4963607
a	0.0407738	0.046082795	0.0405184	0.046511598	0.04712346	0.0460159	0.052180413	0.08017181	0.28251067	0.20598744	0.11212372
f	0.0181282	0.018521802	0.01793267	0.018558973	0.01874053	0.019455517	0.02071509	0.03058737	0.09760957	0.34458166	0.3951685
