 	se	vieni	a	casa	ogni	sabato	</S>
a	0.7401153	0.24378568	0.0058726463	0.009979852	0.00023120914	1.0354251e-05	4.8727748e-06
n	0.36301765	0.6367095	0.00027024496	2.6712758e-06	1.8987387e-09	1.0792554e-09	1.2176196e-09
è	0.4619458	0.10102043	0.12203532	0.3057812	0.008950871	0.00026624865	7.6482266e-08
r	0.05243051	0.11203283	0.49056783	0.33642972	0.008537642	8.911502e-07	4.3743532e-07
t	0.10713708	0.30152333	0.4817491	0.10399462	0.0055039166	8.6921405e-05	5.002019e-06
i	0.62406915	0.33450785	0.041311257	9.1640926e-05	1.4519085e-05	5.5524824e-06	1.9398059e-09
è	0.064074546	0.12625478	0.6165374	0.19096814	0.0021618113	3.0143676e-06	2.9794833e-07
s	0.03744415	0.055642914	0.2918819	0.5557519	0.05923591	1.9801528e-05	2.3447516e-05
s	0.11171409	0.11417466	0.26268053	0.4482537	0.05579996	0.007278367	9.8670505e-05
u	0.040339243	0.0814483	0.5895075	0.27815467	0.0072558285	0.0032809842	1.3454683e-05
k	0.08523638	0.090326004	0.17161852	0.39553276	0.2351901	0.021509865	0.00058641186
u	0.11150248	0.06854506	0.25991052	0.4186943	0.04797228	0.08369814	0.009677178
à	0.052345317	0.053714845	0.0692713	0.13581797	0.49920276	0.17852256	0.011125286
i	0.02653542	0.028272383	0.054626733	0.17013499	0.5194304	0.18396425	0.017035792
s	0.05946658	0.058249697	0.06981051	0.11236871	0.5001509	0.14127654	0.058677
à	0.03636561	0.035384443	0.03553236	0.039238844	0.15971905	0.6391406	0.05461907
m	0.03017457	0.030276267	0.031707134	0.037531834	0.0982334	0.6220272	0.15004952
b	0.025119673	0.025144214	0.026567964	0.03251814	0.10537891	0.57585454	0.2094166
a	0.014677969	0.0045870054	0.026495846	0.025704801	0.06319911	0.85799545	0.0073398137
</S>	0.020190235	0.020413304	0.021076562	0.023441926	0.047013026	0.4025693	0.4652957
