 	non	ha	che	li	aspettiamo	</S>
e	0.9986355	0.0006719698	0.00015733964	0.0004890055	4.2799442e-05	3.1872296e-06
n	0.9524007	0.04737996	0.0001714563	1.750987e-05	1.874467e-05	1.16452475e-05
è	0.37312838	0.61806387	0.008352583	0.0004521847	2.833122e-06	2.2764719e-07
n	0.17465818	0.6257576	0.1954423	0.0040521002	4.4153408e-06	8.548426e-05
a	0.048510153	0.30531168	0.62814355	0.017365983	0.00021683612	0.0004518565
t	0.038983855	0.090897396	0.27419567	0.5841678	0.008206324	0.003549034
u	0.11986863	0.16613111	0.36370295	0.3112122	0.012581867	0.026503239
s	0.042967297	0.07788771	0.24677351	0.55679965	0.055847943	0.019723859
m	0.052081052	0.06340785	0.11893527	0.21959823	0.11511219	0.43086535
ì	0.14093101	0.10540277	0.00566335	0.0062604942	0.0077231624	0.7340192
n	0.03674589	0.050061177	0.1177823	0.32127836	0.08117316	0.39295915
o	0.052182347	0.13945408	0.39447036	0.2471163	0.04106472	0.12571223
m	0.02294937	0.025838917	0.04005303	0.12208473	0.35577554	0.43329847
e	0.14110145	0.17169628	0.21982884	0.20912044	0.12665461	0.13159831
</S>	0.023392813	0.02454319	0.029719701	0.059682343	0.33626047	0.52640146
