 	non	li	aspettiamo	più	</S>
e	0.995568	0.0032655823	0.00094858196	0.00021492415	2.8871987e-06
t	0.627274	0.37139297	0.0013189034	4.798698e-06	9.342918e-06
u	0.24504818	0.7149251	0.02907197	0.010938844	1.6022252e-05
s	0.20334029	0.76987416	0.026759805	9.807098e-06	1.5855387e-05
m	0.19337058	0.6272556	0.13330327	0.036913194	0.0091573605
è	0.5732752	0.27834713	0.049691375	0.024562119	0.074124165
n	0.13346627	0.5695501	0.29112107	0.0039924197	0.0018701132
u	0.079546526	0.31723258	0.48921558	0.026226616	0.087778725
m	0.046600178	0.12130143	0.6665883	0.1228231	0.042686913
e	0.09284854	0.18456827	0.2841636	0.3720851	0.06633449
p	0.03605557	0.0457671	0.21706235	0.37496087	0.32615414
l	0.029779037	0.08676751	0.04529841	0.781952	0.056203
è	0.002475182	0.00394816	0.002817753	0.7741269	0.21663195
o	0.01871859	0.025548138	0.14655551	0.35535294	0.45382488
</S>	0.020977847	0.023177953	0.06360346	0.37949005	0.5127507
