 	li	vestono	i	genitori	</S>
t	0.9993099	0.0006020503	5.2330208e-05	3.547792e-05	2.4357098e-07
u	0.9996762	0.00031393225	9.233619e-06	6.795252e-07	8.079734e-09
s	0.9977202	0.0022769526	2.7769768e-06	8.6292005e-08	9.4323775e-09
i	0.3535695	0.4672378	0.17593516	0.0015619639	0.0016956462
n	0.22915204	0.76110655	0.009677818	1.5989505e-06	6.1948725e-05
d	0.061424874	0.7424871	0.18150617	0.00871545	0.005866483
ì	0.99640816	0.003141687	0.0004245142	5.1117554e-06	2.0598822e-05
n	0.034404404	0.44093084	0.49780917	0.015641047	0.0112145925
n	0.095164664	0.34921354	0.5355386	0.00039194498	0.019691272
o	0.8192721	0.06995438	0.10449704	0.00011701767	0.0061594485
n	0.049550526	0.19717081	0.6361596	0.030210469	0.086908564
e	0.2440575	0.36312008	0.3065294	0.0077285497	0.0785645
i	0.044658825	0.07371652	0.22273837	0.41213828	0.24674799
g	0.066039376	0.079747126	0.14688301	0.5443278	0.16300271
e	0.95200175	0.006764894	0.0141786365	0.00262716	0.024427652
n	0.019383302	0.03468347	0.109432854	0.3795558	0.45694464
i	0.018462168	0.081695154	0.21848784	0.32778445	0.35357037
t	0.019183394	0.029625582	0.08158009	0.39636108	0.47324988
ò	0.04603003	0.03888979	0.098681234	0.36616838	0.4502306
r	0.021048388	0.02627897	0.05115668	0.380348	0.52116793
i	0.022695163	0.029794378	0.065609336	0.37660453	0.5052966
</S>	0.035864573	0.036981367	0.040425036	0.18113871	0.7055903
