 	è	che	sono	usciti	</S>
è	0.99782974	0.001503163	0.00058743433	7.782601e-05	1.8451769e-06
n	0.9586115	0.041177634	0.00015647551	3.250212e-05	2.1940186e-05
a	0.42470554	0.29939407	0.2693951	0.0019733987	0.0045319293
g	0.24757344	0.7199301	0.02286151	0.004281951	0.005352927
u	0.0629303	0.62104946	0.14559218	0.095372915	0.07505522
ì	0.040180273	0.113627814	0.507164	0.18607058	0.15295732
k	0.04617931	0.071265824	0.55877805	0.1834692	0.14030759
a	0.15349776	0.6051689	0.07389983	0.09296892	0.07446466
n	0.045357294	0.052713428	0.23918065	0.339951	0.32279757
e	0.020779049	0.025322495	0.15428886	0.32063028	0.47897932
</S>	0.04835979	0.04924232	0.074983336	0.14796983	0.67944473
