 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.9754152	0.0055919546	0.017009767	0.0019340279	4.8079724e-05	5.5945304e-07	3.5133834e-07
c	0.9896848	0.009438731	0.0008057014	5.3579024e-05	1.6182634e-05	5.343848e-07	5.225398e-07
h	0.04360429	0.94119	0.015121756	8.088718e-05	2.9686278e-06	9.390546e-08	1.4409489e-09
a	0.28647658	0.5649852	0.14086059	0.0068418975	0.0008356185	5.620629e-08	3.5014727e-10
n	0.04128824	0.9458328	0.012876094	2.9121695e-06	6.9025505e-09	4.0819242e-10	3.2150316e-10
a	0.19723918	0.7673084	0.03447287	0.0009548892	2.430207e-05	2.399316e-07	2.170573e-08
v	0.03467614	0.6702015	0.29273397	0.002379051	9.4525485e-06	1.4624785e-08	2.2167217e-09
o	0.0034660453	0.010535214	0.40854913	0.56355727	0.013880593	1.1729505e-05	1.4450098e-08
r	0.03202386	0.383045	0.5670323	0.017853795	4.4295193e-05	7.1190914e-07	6.2577456e-08
à	0.016590739	0.45514053	0.31374443	0.1430715	0.07065639	0.0007887124	7.660372e-06
s	0.03944776	0.2357237	0.53907573	0.1855076	0.00024139303	2.6903654e-06	1.0889462e-06
o	0.03233461	0.34098518	0.5626829	0.05649259	0.0071561025	0.00029394784	5.459002e-05
t	0.04474532	0.07558843	0.24762039	0.6234045	0.008606456	2.4667635e-05	1.0290378e-05
o	0.0032247584	0.100997545	0.64247715	0.19630387	0.055845376	0.0010274032	0.00012395873
t	0.06462813	0.07502602	0.13146317	0.6594433	0.06876585	0.00033531332	0.00033818907
s	0.002295927	0.036999963	0.31781793	0.5728716	0.06493786	0.0020634886	0.0030131808
o	3.6756135e-06	1.2351472e-05	0.11510732	0.8490084	0.035774674	5.2488573e-05	4.101896e-05
m	0.028980996	0.034229495	0.067249924	0.3634315	0.48809928	0.016201293	0.0018075457
ì	0.009780163	0.019386621	0.086136475	0.32463747	0.12663616	0.13154382	0.3018792
k	0.038913395	0.040823717	0.054383863	0.23467457	0.6093975	0.015858274	0.0059487075
à	0.010179363	0.012487099	0.045680996	0.21980537	0.23073082	0.17600037	0.305116
i	0.027463056	0.027861333	0.030193994	0.060357127	0.19289702	0.36137524	0.29985222
m	0.021876035	0.022245806	0.023999233	0.04525084	0.14026205	0.46950793	0.27685812
è	0.003904206	0.015356818	0.042230368	0.059762914	0.10251659	0.55973965	0.21648948
r	0.023720909	0.023878917	0.024690133	0.03415073	0.07881245	0.38384742	0.43089944
i	0.014499065	0.016275266	0.020426873	0.038118366	0.11662558	0.40771475	0.38634008
</S>	0.033111274	0.030362094	0.033943586	0.03697417	0.049962405	0.25864047	0.557006
