 	non	aveva	da	stare	</S>
e	0.99896026	0.0005157436	0.00019708238	0.00032137288	5.442973e-06
n	0.9619533	0.037990198	4.6885518e-05	5.4101174e-06	4.256606e-06
ì	0.67555696	0.30456242	0.01986343	1.662694e-05	5.5159904e-07
c	0.16739686	0.7713836	0.06116868	1.6144777e-05	3.475283e-05
h	0.07576415	0.4900904	0.4334606	0.0005837274	0.00010111894
e	0.09819031	0.5906148	0.30859858	0.0025105292	8.58296e-05
n	0.05340054	0.32924727	0.5556523	0.0513327	0.010367217
a	0.085629955	0.27016455	0.60642016	0.02833349	0.009451858
s	0.043515693	0.062214382	0.50683063	0.3579475	0.02949172
t	0.045591023	0.06452598	0.2939874	0.42366332	0.17223234
a	0.0020169949	0.0056893444	0.003724661	0.9383074	0.050261624
s	0.022469398	0.046895534	0.23969038	0.33429068	0.35665402
ì	0.052844405	0.12065898	0.5680858	0.09836845	0.16004242
</S>	0.032556284	0.03559327	0.064898714	0.25656432	0.61038744
