 	mi	si	gonfiò	il	dito	</S>
m	0.9850736	0.0060154204	0.008822176	7.220538e-05	1.5071911e-05	1.5792598e-06
u	0.7015464	0.2355109	0.06291733	2.4878438e-05	4.831065e-07	5.06892e-08
b	0.091079086	0.88388854	0.025026096	6.1444716e-06	5.315979e-08	2.8135638e-09
r	0.103971004	0.4633848	0.42026085	0.0050933915	0.0072776875	1.2121522e-05
i	0.3179641	0.33924246	0.33685732	0.0053686784	0.0005668067	6.408257e-07
s	0.08405784	0.4809859	0.36382365	0.070859656	0.0002684094	4.5105285e-06
t	0.058475763	0.34623113	0.38581875	0.062163975	0.056120895	0.091189444
ì	0.1013539	0.5746954	0.24054083	0.043442097	0.039644	0.00032371242
o	0.07651848	0.11664719	0.12312243	0.600188	0.07532768	0.008196169
d	0.027515128	0.036586918	0.0381691	0.38840097	0.44482988	0.06449799
à	0.030913062	0.035314873	0.036220364	0.050473806	0.546571	0.30050695
t	0.019622546	0.022243092	0.02269541	0.17325395	0.38235435	0.37983063
t	0.024834814	0.02773565	0.029018719	0.20148638	0.31708273	0.39984176
i	0.2512149	0.1257292	0.06678956	0.0974809	0.44689286	0.011892585
l	0.024886897	0.02539258	0.02544549	0.054359224	0.35680175	0.51311404
o	0.023774937	0.025101421	0.0252147	0.028416347	0.5014786	0.39601398
</S>	0.031240223	0.031520966	0.031550746	0.045501523	0.26789927	0.5922873
