 	devo	comprare	il	pane	ogni	ogni	giorno	</S>
è	0.9615849	0.0018586029	0.033145577	0.0033472066	4.849944e-05	1.4662744e-05	1.5541184e-07	4.514725e-07
n	0.93660635	0.044038557	0.019318212	3.6103156e-05	5.23413e-07	2.0604352e-07	5.484683e-09	9.855468e-09
a	0.35114458	0.6205175	0.026148584	0.0021646603	2.398295e-05	7.1535084e-07	2.291297e-09	2.3175885e-10
v	0.03156131	0.6392782	0.32727548	0.0018834423	1.5641975e-06	2.551789e-08	3.7530837e-10	2.4315902e-10
o	0.10912048	0.0043615475	0.20392394	0.61901385	0.06065662	0.0029223165	1.2056745e-06	3.5253475e-08
r	0.06450213	0.33661598	0.56898344	0.029892605	5.654173e-06	2.2797119e-07	2.8745764e-09	4.8906683e-09
à	0.11257844	0.3792376	0.30315238	0.13847849	0.06403622	0.0025139472	2.8568163e-06	1.04700796e-07
s	0.032850377	0.23472981	0.33582062	0.39588425	0.00070802047	6.591422e-06	7.3663664e-08	2.2811854e-07
o	0.053320184	0.31732956	0.4813711	0.13305758	0.012791728	0.0021288842	7.690446e-07	2.2488413e-07
o	0.053650424	0.10110992	0.15044476	0.68522406	0.009345421	0.0002244069	6.7128195e-07	3.4594365e-07
t	0.08935991	0.11495577	0.13739964	0.54552305	0.09666386	0.01603923	9.553011e-07	5.7629204e-05
s	0.10995816	0.020130964	0.1912078	0.48794296	0.1400726	0.048083875	0.0021118652	0.0004916606
o	0.053032253	0.0006961011	0.34650093	0.544612	0.037161905	0.017771484	3.6047048e-05	0.00018922865
m	0.03532466	0.039802853	0.044202182	0.14602664	0.53169155	0.20045055	0.002481501	2.0047799e-05
ì	0.024815599	0.026331473	0.05561867	0.30913207	0.24569146	0.059859622	0.03364493	0.2449062
k	0.039588813	0.041723877	0.043888345	0.091053545	0.4560393	0.32479265	0.002143391	0.0007700696
u	0.041598935	0.019525278	0.049205184	0.14313515	0.45351863	0.15081865	0.006603202	0.13559498
à	0.06560405	0.06101343	0.06686593	0.078906305	0.23092875	0.45789915	0.0063584	0.032424077
i	0.020353418	0.021276599	0.022080755	0.04061626	0.23140675	0.3634578	0.26289928	0.03790915
k	0.039885648	0.040161937	0.04045156	0.045894027	0.11402434	0.23465492	0.4312199	0.053707644
u	0.04522642	0.006197832	0.041349243	0.04913403	0.088987075	0.09311659	0.5414842	0.13450459
à	0.038653716	0.03381019	0.03868186	0.04126683	0.07017946	0.12650804	0.3073196	0.3435803
i	0.022995586	0.023207651	0.023394562	0.027299728	0.07734212	0.16517867	0.50047106	0.1601106
m	0.04273939	0.042762026	0.04285942	0.043982122	0.056442715	0.079590306	0.533377	0.15824704
è	0.0621528	0.0038464686	0.04835526	0.05959745	0.07530641	0.07150229	0.54678	0.13245939
r	0.025551114	0.025307517	0.025597863	0.026160989	0.032329906	0.043895394	0.32195604	0.49920115
i	0.022868646	0.013147355	0.022406215	0.02362105	0.033399533	0.05155967	0.37617987	0.4568177
</S>	0.046613585	0.04209811	0.046662968	0.046923935	0.04935116	0.053579006	0.19276297	0.5220082
