 	vuole	pianto	</S>
e	0.9147528	0.08509949	0.00014775904
t	0.9934163	0.0065695224	1.4208855e-05
è	0.96528286	0.033438995	0.001278239
l	0.59339666	0.40621293	0.00039043813
i	0.9757775	0.023166709	0.0010556844
k	0.38248795	0.6024904	0.015021681
l	0.09215859	0.43085703	0.47698438
a	0.66530305	0.31074637	0.023950584
m	0.043396305	0.46392193	0.49268174
m	0.04636098	0.47529092	0.47834817
è	0.52812165	0.41596383	0.055914525
n	0.09535511	0.25753722	0.6471077
o	0.044837065	0.49953908	0.45562392
</S>	0.03401503	0.24008302	0.7259019
