 	io	non	sono	ancora	pronta	bisogna	venire	alle	sette	</S>
e	0.99739325	0.0024893035	2.0100117e-05	5.796139e-05	3.934121e-05	1.04096145e-08	2.4013675e-08	4.246661e-09	6.658088e-09	3.443041e-09
v	0.9894079	0.010385487	0.00020087097	4.4792278e-06	9.734741e-07	2.754533e-07	1.667949e-08	2.3870083e-08	9.791573e-09	2.6113238e-09
ò	0.90455216	0.05126031	0.038529232	0.004536558	0.0011205075	1.0387686e-06	2.2746758e-07	3.3622976e-09	9.701201e-10	7.099103e-11
e	0.28969982	0.70985746	0.00043878658	3.1183276e-06	7.459211e-07	4.1350464e-08	3.9903572e-08	2.5321619e-08	7.4422064e-09	8.071338e-09
n	0.059925087	0.9129567	0.025831021	0.0012811759	5.9055837e-06	7.51402e-08	1.1467783e-08	3.0007847e-09	3.603097e-10	2.2594832e-10
ì	0.040618416	0.6353819	0.32046264	0.0034499082	8.666867e-05	5.4889887e-07	8.713359e-09	2.428985e-09	5.5765753e-11	3.770118e-12
m	0.2292461	0.6423806	0.12539761	0.0029158988	5.896946e-05	6.6830773e-07	1.00510604e-07	1.6625668e-08	1.8807649e-08	1.760763e-08
e	0.14412725	0.26508573	0.44744283	0.12115102	0.02218484	6.592503e-06	1.4615447e-06	2.8001747e-07	6.0571796e-09	2.0477882e-09
a	0.09717512	0.15987793	0.24058673	0.47492877	0.027418872	1.2360283e-05	2.7921027e-07	1.102689e-08	1.4174012e-09	2.2435753e-09
n	0.069220744	0.09634209	0.13876572	0.6359946	0.056802586	0.0028709255	3.2358337e-06	1.244638e-07	1.1058083e-09	2.9233194e-09
k	0.10129992	0.11589998	0.18698496	0.2021413	0.36797664	0.025102485	0.00058322493	1.132991e-05	1.00405394e-07	3.9541213e-08
ò	0.30489928	0.035393022	0.043958303	0.0073416396	0.6028782	0.0046258694	0.00054559135	0.00034565982	1.2339416e-05	4.0843705e-08
r	0.02911165	0.057924673	0.22669506	0.5040859	0.14068408	0.04097846	0.00028233568	0.00023212287	4.43246e-06	1.3017684e-06
a	0.034149025	0.07154822	0.25217932	0.41096336	0.2178983	0.011315908	0.0010756704	0.0008639155	5.881354e-06	3.5416372e-07
p	0.05617924	0.060568213	0.08657402	0.34522673	0.40345085	0.047174376	0.0008071117	1.9203877e-05	1.0438726e-07	6.536376e-08
r	0.068769835	0.049079012	0.03536685	0.2446868	0.5726572	0.024796203	0.0023392693	0.002130894	0.00016983475	4.0605087e-06
ò	0.20069301	0.048254453	0.009450259	0.009136556	0.71454096	0.013926655	3.0879103e-06	0.0038011065	0.0001345824	5.9246446e-05
n	0.032898493	0.03592775	0.05336613	0.18185829	0.20398824	0.47964773	0.009825261	0.00222359	0.00022712075	3.743538e-05
t	0.04486741	0.04776753	0.05263187	0.10905471	0.32629338	0.36228105	0.05162522	0.0054514958	2.1099586e-05	6.1960063e-06
a	0.74010855	0.02563837	0.00702673	0.046306055	0.17034757	0.0032885305	1.1646077e-05	0.005238232	0.0018211356	0.00021317085
n	0.06120232	0.061732884	0.064910576	0.0925662	0.111345306	0.49280792	0.046000835	0.068859614	0.00030212966	0.00027217137
g	0.0444787	0.045037348	0.04585093	0.067876905	0.116777554	0.5966925	0.05097494	0.031397987	0.00065244647	0.00026076016
h	0.2612002	0.038713027	0.020689866	0.01492544	0.25888968	0.08839676	9.1211106e-05	0.26970634	0.037114356	0.010273157
ì	0.07227443	0.045566086	0.026645178	0.0035278026	0.38044354	0.19700803	0.00018142165	0.24467666	0.021147078	0.008529797
z	0.0329213	0.033903938	0.03942792	0.09098798	0.12473604	0.61150223	0.041671578	0.018037401	0.0033885785	0.003423045
i	0.021462461	0.021947403	0.025301656	0.056707717	0.07884014	0.34944066	0.25654957	0.16138461	0.020466376	0.007899417
n	0.039736867	0.039834484	0.04043815	0.04484661	0.04932484	0.17955902	0.090666495	0.45116618	0.049607508	0.01481979
a	0.029838428	0.02995247	0.030580165	0.03882347	0.047693174	0.26292568	0.15005028	0.2415147	0.120955765	0.04766589
r	0.03697138	0.036889616	0.037546605	0.041354965	0.042512003	0.13757218	0.29857847	0.13442716	0.2059658	0.028181849
t	0.06529079	0.05935467	0.044223614	0.07705529	0.08757861	0.08661351	0.013032542	0.3860119	0.166996	0.013843022
i	0.008610829	0.0010504621	0.00053172605	0.00012786756	0.00953928	0.0029551028	3.519173e-05	0.13491635	0.83609897	0.006134223
s	0.018235473	0.018258493	0.018414425	0.019631742	0.020483674	0.05154958	0.099810265	0.24298996	0.28634447	0.22428194
t	0.018124271	0.01643181	0.016258769	0.021393511	0.020731032	0.04139304	0.01454956	0.32894114	0.43009642	0.092080444
e	0.018508814	0.0044029024	0.00019194129	3.7106925e-05	0.020779053	0.0024648323	1.7631395e-05	0.041774586	0.90454197	0.0072812554
s	0.01898405	0.01898918	0.019021977	0.018975565	0.01989724	0.031375874	0.018784508	0.1385668	0.34947497	0.36592987
e	0.018777618	0.01722316	0.018446824	0.019238321	0.017479258	0.029231232	0.014121738	0.22594206	0.47562793	0.16391177
t	0.02105482	0.0210378	0.02107433	0.021047628	0.021405127	0.026032299	0.021641716	0.07220452	0.3660179	0.4084839
t	0.020838859	0.016819678	0.020349795	0.021151656	0.014604207	0.012504093	0.0027814656	0.11406422	0.5495412	0.22734484
ò	0.0076991273	0.001840369	0.0002551825	3.126038e-05	0.0078017553	0.0006132013	5.659263e-06	0.027098201	0.95135933	0.0032959029
</S>	0.018277584	0.018283272	0.018299796	0.018528	0.018807488	0.02537293	0.03988416	0.09078233	0.3527415	0.39902294
