 	sto	ancora	cucinando	</S>
s	0.99925596	0.00065829954	8.5073545e-05	6.6487445e-07
t	0.9994979	0.00048737097	1.4609852e-05	1.2132037e-07
e	0.99997914	1.3201051e-05	2.879853e-06	4.7948706e-06
a	0.72610575	0.2737633	0.00012073132	1.02309405e-05
n	0.09516116	0.7833681	0.09765136	0.023819417
k	0.21563025	0.42700043	0.064875074	0.2924942
ò	0.9403941	0.0072099245	0.0036628447	0.04873307
r	0.042316932	0.28407815	0.415139	0.25846595
a	0.15088655	0.72863597	0.018731464	0.10174597
m	0.06647146	0.20388763	0.07672598	0.65291494
a	0.5593708	0.24697632	0.094904244	0.09874866
r	0.024743143	0.049787045	0.34293476	0.5825351
è	0.07365076	0.14423752	0.3068885	0.4752232
o	0.028232977	0.05506232	0.36908466	0.54762006
n	0.021801816	0.04936095	0.40554035	0.5232969
t	0.13260962	0.12801978	0.16569749	0.5736731
a	0.78092015	0.02346881	0.062233564	0.13337746
</S>	0.04376784	0.047322363	0.17962144	0.72928834
