 	se	vieni	alle	sette	sto	ancora	cucinando	</S>
a	0.767847	0.22659689	0.00476981	0.00072753493	4.1993724e-05	1.3976612e-05	2.459805e-07	2.5055958e-06
n	0.29895976	0.7004728	0.00056718086	2.11988e-07	2.0989201e-09	1.8140369e-09	1.1762742e-09	1.1975836e-09
è	0.5681903	0.10448149	0.18202285	0.14374518	0.0014798427	8.025338e-05	1.4270404e-07	5.110067e-09
r	0.08327277	0.20256896	0.63747656	0.076017074	0.00066440634	2.3718587e-07	7.466257e-09	2.524723e-08
k	0.17397532	0.49745142	0.30347964	0.024477175	0.00053933146	7.5468044e-05	2.7236723e-07	1.293843e-06
e	0.65080065	0.32297197	0.02504123	0.0011815625	4.505559e-06	3.9702076e-08	2.278403e-08	6.697614e-10
s	0.052173793	0.124657355	0.56852037	0.2542623	0.00038602183	1.4344673e-07	3.6486898e-09	9.101091e-09
e	0.24053586	0.1876187	0.36962348	0.17092942	0.029815692	0.0014589643	1.7538914e-05	3.373139e-07
s	0.06379161	0.07740499	0.27814576	0.57115453	0.00949239	1.0408193e-05	1.994916e-07	1.2540053e-07
e	0.1296495	0.15347381	0.37893778	0.24333519	0.08864213	0.004813972	0.001098277	4.93163e-05
s	0.055093173	0.060946308	0.14919086	0.52608216	0.2081909	0.00040866793	4.0362742e-05	4.7564783e-05
e	0.0648186	0.07354845	0.22506192	0.45076448	0.14683524	0.021739522	0.012145298	0.005086437
t	0.039699156	0.041982453	0.0758561	0.2627026	0.56520635	0.013658522	0.00058778486	0.0003070344
t	0.05181563	0.052224815	0.088874556	0.35392708	0.33353505	0.03967747	0.029750265	0.050195154
à	0.002732721	0.0014765174	0.08801489	0.57099813	0.32927042	2.2208927e-05	0.0002486772	0.0072364365
s	0.042181358	0.030442651	0.06561668	0.1879975	0.60895044	0.061059747	0.0022456462	0.0015059354
t	0.023791334	0.0260483	0.07246939	0.2687979	0.49618083	0.0771329	0.015882434	0.019696824
e	0.0076604118	0.008545851	0.021305019	0.30330658	0.6568026	0.00018214143	0.00045218246	0.0017452191
a	0.034467734	0.034824636	0.041908573	0.08025639	0.39326882	0.34833127	0.0020881419	0.06485441
n	0.023890829	0.02423464	0.028970828	0.05557717	0.26969516	0.45742974	0.12723179	0.01296989
k	0.07418012	0.045392327	0.07770345	0.09417122	0.25726438	0.30652228	0.072070174	0.072696075
ò	0.016341252	0.015099717	0.41653237	0.388777	0.10606441	0.000420759	0.0015861744	0.055178348
r	0.012324335	0.012316497	0.015349168	0.03124178	0.15607709	0.23038557	0.2773664	0.26493922
a	0.030008072	0.012519214	0.033559635	0.058223378	0.28164133	0.47386786	0.020795155	0.08938534
m	0.029075978	0.03450704	0.03991146	0.04262839	0.06860869	0.12262795	0.047112446	0.61552805
a	0.15054268	0.06740693	0.028481547	0.10616725	0.1501149	0.21224318	0.18178348	0.10326008
r	0.02010439	0.020518348	0.021004764	0.022422973	0.03617554	0.09684993	0.282135	0.500789
è	0.040069412	0.038246874	0.033742342	0.061419174	0.102794684	0.13720514	0.34741685	0.23910548
o	0.02055051	0.020029938	0.020848539	0.022134615	0.035193734	0.09736625	0.33929083	0.44458562
</S>	0.019331638	0.019374631	0.01965327	0.020649094	0.030611359	0.0783145	0.34062108	0.4714444
