 	non	ho	cosa	a	fare	</S>
e	0.9985611	0.0012641316	3.233303e-05	0.0001303726	8.66363e-06	3.3641031e-06
n	0.9880505	0.010877343	0.0010440376	2.4898864e-05	5.587965e-07	2.7289816e-06
è	0.318369	0.6741621	0.0071721305	0.00029636605	4.091277e-07	1.7583924e-08
c	0.2196328	0.6263156	0.0941624	0.05966688	1.876673e-06	0.00022041271
h	0.092997186	0.17539364	0.2909132	0.43787548	0.0011526699	0.001667849
o	0.04998804	0.28379506	0.5054171	0.14893031	0.010773653	0.0010958441
t	0.0365372	0.19829248	0.3020049	0.45639205	0.0001808426	0.0065925308
i	0.026747428	0.7787055	0.14503188	0.0396229	0.004614524	0.005277652
k	0.06768766	0.08972976	0.23061247	0.5436068	0.0054982454	0.06286505
à	0.02982293	0.043555956	0.1128398	0.15612228	0.6045299	0.053129032
i	0.03497142	0.039727338	0.07616347	0.15099561	0.11970974	0.57843244
</S>	0.0382269	0.040112894	0.0579411	0.10146149	0.078735925	0.6835217
