 	Marika	è	che	si	sposa	domani	</S>
M	0.9932354	0.0033988135	0.0028755516	8.175314e-05	0.0003811562	1.182731e-06	2.6297917e-05
a	0.99136424	0.008598164	3.1140054e-05	1.913533e-07	6.298727e-06	1.264683e-10	1.8760493e-09
r	0.97748137	0.02251575	1.050972e-06	7.030753e-08	1.6023208e-06	8.588944e-08	1.8433402e-08
ì	0.009655798	0.88931626	0.09219292	0.008793448	3.8439783e-05	1.145133e-07	2.9166588e-06
k	0.34987608	0.6488509	0.0012535095	1.348906e-05	5.9599874e-06	3.1152588e-08	9.866331e-08
a	0.019881565	0.85601544	0.117498696	0.0057863067	0.00081797625	4.9169785e-08	7.44578e-08
è	0.09611261	0.86565375	0.037616137	0.00048584893	0.00013132316	5.443588e-08	1.8219299e-07
n	0.08461172	0.4354872	0.46129316	0.015577351	0.003007718	1.711976e-06	2.096658e-05
a	0.28819555	0.3323585	0.09277212	0.040817723	0.24559811	0.0001648942	9.30718e-05
r	0.039678033	0.08278058	0.32819334	0.12880093	0.4184866	0.00011265169	0.0019479361
m	0.023134198	0.120246455	0.46500823	0.34910026	0.0107557755	0.0006140017	0.031141112
a	0.0016916046	0.13923214	0.5231833	0.32479563	0.00042260965	2.5193525e-05	0.010649505
s	0.02481864	0.040147368	0.16601942	0.3706491	0.31202403	0.006483958	0.07985755
t	0.0026628054	0.09194167	0.28289104	0.58865887	0.013220232	1.6946826e-05	0.020608455
ì	0.00025133174	0.0723056	0.34776947	0.57112384	0.001518534	0.0015269431	0.0055043525
à	0.044314887	0.046663154	0.06543762	0.18984766	0.3676182	0.19148852	0.09462995
v	0.018780593	0.019728798	0.027325392	0.056421574	0.116742365	0.4021379	0.35886332
v	0.07048844	0.07281825	0.0760959	0.07171732	0.098224506	0.053828496	0.55682707
r	0.0017895825	0.32224786	0.45917308	0.10562299	0.0009559625	0.003564222	0.10664626
i	0.0007379511	0.3495646	0.16691132	0.431712	0.00016181142	3.4421933e-05	0.05087789
</S>	0.0008364617	0.04780792	0.04876767	0.054022245	0.0053410656	0.004467867	0.8387568
