 	ho	cosa	a	fare	</S>
è	0.9527756	0.046392865	0.0003807126	0.0004440744	6.6519424e-06
c	0.866176	0.13306628	0.0007465529	5.2355435e-06	5.8951823e-06
h	0.27822632	0.12928364	0.58708316	0.0048100404	0.00059683435
o	0.41837767	0.521177	0.06011044	0.0003247686	1.0215984e-05
t	0.120390445	0.357683	0.521436	1.5434489e-05	0.00047513633
i	0.08942766	0.849391	0.056157432	0.002304306	0.0027197232
k	0.13358262	0.20304497	0.590606	0.008893258	0.06387319
à	0.07806718	0.059225045	0.10079023	0.74596864	0.01594894
i	0.03158358	0.03989336	0.085789695	0.26694795	0.5757854
</S>	0.038594395	0.042079613	0.06657503	0.10232846	0.7504225
